Homology group node id,class,Genome 1,Genome 10,Genome 11,Genome 12,Genome 13,Genome 14,Genome 15,Genome 16,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
830103,core,3,3,3,3,4,3,2,3,2,3,2,2,3,3,3,3
830107,core,3,3,3,3,3,2,3,2,1,3,3,3,3,3,3,3
830108,core,3,2,3,3,3,3,3,3,2,2,3,2,3,3,3,3
830109,core,3,2,3,3,2,3,3,3,1,3,3,3,3,3,3,3
830110,core,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2
830111,core,2,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3
830113,core,3,3,3,3,3,3,3,2,1,3,3,2,3,3,3,3
830115,core,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3
830116,core,2,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3
830118,core,2,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3
830120,core,3,3,2,2,3,3,3,3,2,3,3,2,2,3,3,3
830121,core,3,3,2,3,3,3,2,3,1,3,3,3,3,2,3,3
830122,core,3,3,3,3,3,3,2,3,1,3,3,2,2,3,3,3
830123,core,3,2,3,3,3,3,1,2,2,3,3,3,3,3,3,3
830124,core,3,3,3,3,1,2,2,3,3,3,3,2,3,3,3,3
830126,core,2,3,3,3,3,3,2,3,1,3,2,3,3,3,3,3
830129,core,3,3,3,3,3,2,3,3,1,1,3,3,3,3,3,3
830130,core,3,2,3,2,4,3,3,4,2,2,4,2,2,2,3,2
830131,core,3,3,2,2,3,4,2,3,2,3,3,2,3,2,3,3
830132,core,4,3,7,1,2,3,3,3,2,1,4,1,2,2,3,2
830133,core,3,3,3,3,2,3,3,2,1,3,3,2,3,3,3,3
830134,core,3,3,3,3,3,3,2,2,1,2,3,3,3,3,3,3
830140,core,3,3,3,3,2,3,3,2,2,2,3,3,2,2,3,3
830150,core,2,3,1,3,2,3,3,3,1,3,3,3,3,2,3,3
830151,core,3,3,3,3,2,3,3,2,1,2,3,3,2,3,2,3
830152,core,3,3,3,3,3,3,2,3,1,2,1,3,3,3,3,2
830153,core,3,2,2,3,2,3,3,3,1,2,3,3,3,3,3,2
830154,core,2,2,2,3,3,2,3,2,2,3,3,3,3,3,2,3
830157,core,3,3,3,2,3,3,3,2,1,1,2,3,3,3,3,3
830159,core,2,3,3,3,2,3,3,1,1,2,2,3,3,3,3,3
830160,core,2,2,3,2,3,3,3,3,1,3,3,2,2,2,3,3
830164,core,3,2,2,2,3,2,3,4,1,2,3,3,3,3,2,2
830166,core,3,3,1,3,2,4,2,4,1,3,3,3,2,2,2,2
830167,core,3,2,3,2,3,3,2,2,1,3,3,3,2,2,3,3
830169,core,3,2,3,3,2,2,3,3,2,2,2,1,2,2,4,3
830171,core,3,4,2,2,2,2,2,3,1,3,3,2,2,3,3,2
830172,core,2,2,2,2,2,1,8,2,1,2,3,3,2,3,2,2
830174,core,3,2,3,3,2,3,3,2,1,2,2,2,3,4,2,2
830175,core,2,3,2,2,2,3,3,2,1,4,3,2,3,2,3,2
830176,core,3,2,3,4,3,3,2,2,1,3,2,2,2,2,2,3
830177,core,3,2,3,3,3,2,2,3,2,2,2,3,2,2,3,2
830181,core,3,3,2,2,3,2,2,3,1,3,2,2,3,2,3,3
830184,core,2,3,3,1,2,2,3,3,2,2,2,3,3,3,2,2
830185,core,3,2,1,2,3,3,2,3,1,3,3,2,3,1,3,3
830186,core,3,3,3,3,2,2,2,2,1,3,2,2,3,2,3,2
830188,core,3,2,1,3,1,3,3,4,1,3,3,3,1,2,4,1
830195,core,3,2,2,2,3,3,2,2,2,4,2,2,2,2,2,2
830197,core,3,1,1,1,2,2,3,1,3,2,3,3,1,5,2,4
830199,core,2,2,2,3,1,3,3,2,1,1,1,2,3,3,3,4
830202,core,3,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2
830203,core,3,3,2,1,2,3,3,2,1,1,2,2,3,3,2,3
830204,core,2,5,2,2,3,2,2,2,1,2,1,3,2,2,2,3
830205,core,2,3,2,2,3,3,3,1,2,3,1,1,3,2,3,2
830206,core,2,2,2,2,2,2,2,4,1,3,3,2,2,2,2,3
830207,core,1,3,3,4,1,1,3,1,1,1,2,3,3,3,3,3
830208,core,2,3,2,3,2,3,2,2,1,2,2,2,2,3,3,2
830215,core,3,2,2,2,2,3,2,3,1,3,2,2,2,2,2,2
830218,core,3,3,2,2,2,2,2,3,1,2,2,2,3,2,2,2
830226,core,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2
830230,core,2,2,2,2,2,2,2,2,1,2,5,2,2,2,2,2
830231,core,2,5,2,1,1,5,1,2,1,1,1,4,2,2,1,3
830232,core,3,2,3,2,3,3,2,2,1,1,2,2,2,2,2,2
830235,core,2,3,2,2,2,4,2,2,1,2,2,3,2,1,2,2
830236,core,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2
830237,core,4,2,2,2,2,2,2,1,1,3,2,2,3,2,2,2
830238,core,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2
830241,core,4,2,1,3,2,1,3,3,1,2,2,2,1,2,2,3
830242,core,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2
830243,core,2,2,2,2,2,2,2,2,1,2,2,3,2,2,3,3
830244,core,2,2,2,2,2,2,2,3,1,3,2,2,2,3,2,2
830247,core,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2
830249,core,3,1,3,3,2,2,1,4,1,3,1,1,2,2,3,1
830252,core,3,2,3,3,2,2,2,1,1,1,3,2,2,2,2,2
830254,core,3,2,2,2,2,2,2,2,1,2,1,2,2,3,2,3
830255,core,2,2,2,2,2,2,2,2,1,3,2,2,2,3,2,2
830257,core,2,2,2,2,2,2,2,3,1,2,2,2,3,2,2,2
830258,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
830259,core,3,2,2,2,2,2,2,2,1,2,2,2,2,3,3,1
830261,core,2,3,3,1,2,3,2,3,1,2,3,1,1,3,1,2
830263,core,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2
830264,core,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2
830268,core,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2
830271,core,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2
830273,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
830274,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2
830275,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
830276,core,2,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2
830278,core,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2
830281,core,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2
830284,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2
830286,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
830287,core,2,2,1,2,2,2,2,3,1,2,3,2,2,2,2,2
830288,core,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830289,core,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2
830290,core,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
830292,core,3,2,2,2,1,2,1,2,5,2,2,2,2,1,2,1
830293,core,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2
830294,core,2,2,2,2,2,2,2,2,1,2,2,1,2,1,3,3
830296,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830297,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830298,core,1,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2
830299,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830300,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830301,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830302,core,2,2,2,3,3,2,2,2,1,1,2,3,2,2,1,1
830305,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830306,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830308,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830309,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830310,core,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,2
830311,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830312,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830313,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830314,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830315,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830316,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830317,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830318,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830319,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830321,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830322,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830323,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830324,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830325,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830326,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830329,core,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2
830330,core,2,2,3,2,2,2,2,2,1,1,2,2,2,1,3,2
830331,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830333,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830335,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830336,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830337,core,2,3,3,1,1,1,2,2,1,2,2,3,2,2,1,3
830339,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830340,core,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2
830341,core,2,2,2,2,1,2,2,2,1,3,2,2,2,2,2,2
830342,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830343,core,1,3,2,2,2,2,2,1,1,2,2,2,2,2,2,3
830344,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830345,core,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2
830346,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2
830347,core,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
830348,core,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
830351,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
830352,core,2,2,1,1,2,2,3,2,2,2,2,2,2,1,2,2
830353,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
830354,core,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
830357,core,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
830358,core,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
830360,core,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2
830361,core,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2
830362,core,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
830363,core,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
830364,core,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
830365,core,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
830366,core,2,2,2,1,2,3,2,2,1,2,2,2,2,1,2,2
830367,core,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
830368,core,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830369,core,2,2,3,3,1,2,1,2,1,2,2,1,1,3,2,2
830371,core,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
830373,core,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
830375,core,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
830376,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2
830377,core,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2
830379,core,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2
830382,core,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
830383,core,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2
830385,core,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,2
830386,core,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
830387,core,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830388,core,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830389,core,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830390,core,1,1,1,4,1,4,1,4,1,3,1,3,1,2,1,1
830392,core,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
830393,core,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
830394,core,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
830395,core,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
830397,core,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2
830399,core,1,3,2,1,2,2,2,2,1,2,1,2,2,2,2,2
830404,core,1,2,2,2,1,3,2,1,1,1,2,2,1,2,3,3
830406,core,1,2,2,2,2,1,1,3,1,3,1,2,2,1,2,3
830407,core,3,2,2,2,3,2,1,1,1,2,1,2,2,2,2,1
830408,core,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2
830410,core,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2
830412,core,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2
830414,core,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2
830415,core,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2
830416,core,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
830417,core,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2
830424,core,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2
830426,core,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2
830428,core,3,2,2,2,1,1,1,4,2,4,1,1,2,1,1,1
830429,core,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
830430,core,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2
830431,core,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2
830432,core,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2
830433,core,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
830434,core,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2
830436,core,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2
830439,core,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2
830440,core,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1
830448,core,3,1,2,2,2,2,1,2,1,1,2,1,2,2,2,2
830452,core,1,2,1,1,2,2,1,2,3,2,2,1,3,1,2,2
830454,core,1,2,2,2,3,1,1,2,1,1,2,3,2,1,2,2
830457,core,1,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2
830462,core,2,1,3,2,3,1,1,1,1,1,1,1,1,3,1,5
830463,core,3,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1
830470,core,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2
830471,core,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2
830472,core,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2
830479,core,2,2,2,2,1,2,1,2,1,1,2,1,2,2,2,2
830482,core,2,2,1,1,2,1,2,2,1,2,1,2,2,2,2,2
830485,core,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1
830486,core,1,3,2,1,2,2,3,2,1,1,2,2,1,1,1,2
830489,core,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,1
830495,core,2,2,2,2,1,2,2,1,2,1,1,2,1,1,2,2
830497,core,2,1,1,2,2,2,2,3,1,1,2,2,2,1,1,1
830500,core,1,1,1,1,3,2,1,2,1,1,2,3,3,1,2,1
830501,core,1,1,2,2,2,2,1,2,1,1,2,1,2,2,1,3
830502,core,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,1
830503,core,1,2,2,2,1,2,2,1,1,2,2,1,2,2,2,1
830506,core,2,1,1,1,1,1,1,3,1,3,3,1,1,2,2,2
830508,core,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2
830512,core,3,1,2,1,2,2,2,1,1,2,3,1,2,1,1,1
830514,core,1,2,1,3,2,2,1,1,1,1,1,2,2,2,2,2
830518,core,2,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2
830520,core,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2
830521,core,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2
830522,core,2,1,2,2,1,2,2,2,1,1,2,1,1,2,2,2
830528,core,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2
830538,core,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2
830540,core,2,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1
