#Please be aware that not every genome will have a gene in accessory groups
Homology group,Class,Genome number,Number of copies,Genome 1,Genome 10,Genome 11,Genome 12,Genome 13,Genome 14,Genome 15,Genome 16,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
60278,accessory,7,1,,,1,1,1,1,,1,1,1,1,1,1,,,,
60278,accessory,8,1,,,1,1,1,1,,1,1,1,1,1,1,,,,
60278,accessory,9,1,,,1,1,1,1,,1,1,1,1,1,1,,,,
60279,accessory,1,1,,,,,,,,,1,,,,,,,,
60279,accessory,10,1,,,,,,,,,1,,,,,,,,
60279,accessory,11,1,,,,,,,,,1,,,,,,,,
60279,accessory,12,1,,,,,,,,,1,,,,,,,,
60279,accessory,13,1,,,,,,,,,1,,,,,,,,
60279,accessory,14,1,,,,,,,,,1,,,,,,,,
60279,accessory,15,1,,,,,,,,,1,,,,,,,,
60279,accessory,16,1,,,,,,,,,1,,,,,,,,
60279,accessory,3,1,,,,,,,,,1,,,,,,,,
60279,accessory,4,1,,,,,,,,,1,,,,,,,,
60279,accessory,5,1,,,,,,,,,1,,,,,,,,
60279,accessory,6,1,,,,,,,,,1,,,,,,,,
60279,accessory,7,1,,,,,,,,,1,,,,,,,,
60279,accessory,8,1,,,,,,,,,1,,,,,,,,
60279,accessory,9,1,,,,,,,,,1,,,,,,,,
829802,accessory,5,2,1,1,1,1,1,1,1,2,2,2,1,,1,1,1,1,
829803,core,5,3,1,2,1,1,1,1,1,2,2,1,1,,1,1,1,1,
829804,accessory,5,2,1,1,1,1,1,1,1,2,1,1,1,,1,1,1,1,
829807,core,1,2,,,1,,1,1,1,,1,1,,,,1,1,,
829807,core,10,2,,,1,,1,1,1,,1,1,,,,1,1,,
829807,core,12,2,,,1,,1,1,1,,1,1,,,,1,1,,
829807,core,16,2,,,1,,1,1,1,,1,1,,,,1,1,,
829807,core,4,2,,,1,,1,1,1,,1,1,,,,1,1,,
829807,core,5,2,,,1,,1,1,1,,1,1,,,,1,1,,
829807,core,6,2,,,1,,1,1,1,,1,1,,,,1,1,,
829807,core,9,2,,,1,,1,1,1,,1,1,,,,1,1,,
829808,accessory,16,3,1,2,2,2,2,2,1,,3,3,2,1,1,2,2,3,
829809,core,16,2,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,
829809,core,5,2,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,
829810,accessory,1,2,,1,1,1,1,,1,2,2,1,1,2,1,1,,1,
829810,accessory,14,2,,1,1,1,1,,1,2,2,1,1,2,1,1,,1,
829810,accessory,8,2,,1,1,1,1,,1,2,2,1,1,2,1,1,,1,
829811,accessory,14,2,1,2,2,1,1,,1,1,2,2,1,1,1,1,,,
829811,accessory,8,2,1,2,2,1,1,,1,1,2,2,1,1,1,1,,,
829811,accessory,9,2,1,2,2,1,1,,1,1,2,2,1,1,1,1,,,
829812,accessory,14,2,1,2,1,1,1,,1,1,2,1,1,1,2,1,1,1,
829813,accessory,10,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,11,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,12,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,13,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,14,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,15,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,3,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,4,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,5,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,6,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,7,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,8,1,1,,,,,,,1,1,,,,,,,,
829813,accessory,9,1,1,,,,,,,1,1,,,,,,,,
829814,accessory,11,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,12,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,13,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,14,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,15,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,3,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,4,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,5,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,6,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,7,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,8,1,1,1,,,,,,1,1,,,,,,,,
829814,accessory,9,1,1,1,,,,,,1,1,,,,,,,,
829815,accessory,10,1,1,,1,1,,,1,1,1,1,1,1,1,,1,,
829815,accessory,13,1,1,,1,1,,,1,1,1,1,1,1,1,,1,,
829815,accessory,14,1,1,,1,1,,,1,1,1,1,1,1,1,,1,,
829815,accessory,7,1,1,,1,1,,,1,1,1,1,1,1,1,,1,,
829815,accessory,9,1,1,,1,1,,,1,1,1,1,1,1,1,,1,,
829816,accessory,11,1,1,1,,1,1,1,1,,1,1,1,,,1,,1,
829816,accessory,16,1,1,1,,1,1,1,1,,1,1,1,,,1,,1,
829816,accessory,5,1,1,1,,1,1,1,1,,1,1,1,,,1,,1,
829816,accessory,6,1,1,1,,1,1,1,1,,1,1,1,,,1,,1,
829816,accessory,8,1,1,1,,1,1,1,1,,1,1,1,,,1,,1,
829817,accessory,1,1,,1,1,1,,1,1,1,1,1,,1,1,1,,,
829817,accessory,13,1,,1,1,1,,1,1,1,1,1,,1,1,1,,,
829817,accessory,4,1,,1,1,1,,1,1,1,1,1,,1,1,1,,,
829817,accessory,8,1,,1,1,1,,1,1,1,1,1,,1,1,1,,,
829817,accessory,9,1,,1,1,1,,1,1,1,1,1,,1,1,1,,,
829818,accessory,11,1,1,1,,1,,,,,1,1,1,1,1,1,1,1,
829818,accessory,13,1,1,1,,1,,,,,1,1,1,1,1,1,1,1,
829818,accessory,14,1,1,1,,1,,,,,1,1,1,1,1,1,1,1,
829818,accessory,15,1,1,1,,1,,,,,1,1,1,1,1,1,1,1,
829818,accessory,16,1,1,1,,1,,,,,1,1,1,1,1,1,1,1,
829819,accessory,4,2,2,1,1,2,2,2,2,2,2,2,,2,2,2,2,2,
829822,core,1,2,,,,,,,,,1,,,,,,,,
829822,core,10,2,,,,,,,,,1,,,,,,,,
829822,core,11,2,,,,,,,,,1,,,,,,,,
829822,core,12,2,,,,,,,,,1,,,,,,,,
829822,core,13,2,,,,,,,,,1,,,,,,,,
829822,core,14,2,,,,,,,,,1,,,,,,,,
829822,core,15,2,,,,,,,,,1,,,,,,,,
829822,core,16,2,,,,,,,,,1,,,,,,,,
829822,core,3,2,,,,,,,,,1,,,,,,,,
829822,core,4,2,,,,,,,,,1,,,,,,,,
829822,core,5,2,,,,,,,,,1,,,,,,,,
829822,core,6,2,,,,,,,,,1,,,,,,,,
829822,core,7,2,,,,,,,,,1,,,,,,,,
829822,core,8,2,,,,,,,,,1,,,,,,,,
829822,core,9,2,,,,,,,,,1,,,,,,,,
829823,core,14,3,1,1,1,1,1,,2,1,2,1,1,1,1,1,1,1,
829824,core,1,2,,,,,,,,,1,,1,,,,1,1,
829824,core,10,2,,,,,,,,,1,,1,,,,1,1,
829824,core,11,2,,,,,,,,,1,,1,,,,1,1,
829824,core,12,2,,,,,,,,,1,,1,,,,1,1,
829824,core,13,2,,,,,,,,,1,,1,,,,1,1,
829824,core,14,2,,,,,,,,,1,,1,,,,1,1,
829824,core,15,2,,,,,,,,,1,,1,,,,1,1,
829824,core,16,2,,,,,,,,,1,,1,,,,1,1,
829824,core,3,2,,,,,,,,,1,,1,,,,1,1,
829824,core,5,2,,,,,,,,,1,,1,,,,1,1,
829824,core,6,2,,,,,,,,,1,,1,,,,1,1,
829824,core,7,2,,,,,,,,,1,,1,,,,1,1,
829825,core,14,3,2,1,2,2,2,,1,1,2,1,1,2,1,,,2,
829825,core,7,3,2,1,2,2,2,,1,1,2,1,1,2,1,,,2,
829825,core,8,3,2,1,2,2,2,,1,1,2,1,1,2,1,,,2,
829826,accessory,1,1,,,,,,,,,1,,,,,,,,
829826,accessory,10,1,,,,,,,,,1,,,,,,,,
829826,accessory,11,1,,,,,,,,,1,,,,,,,,
829826,accessory,12,1,,,,,,,,,1,,,,,,,,
829826,accessory,13,1,,,,,,,,,1,,,,,,,,
829826,accessory,14,1,,,,,,,,,1,,,,,,,,
829826,accessory,15,1,,,,,,,,,1,,,,,,,,
829826,accessory,16,1,,,,,,,,,1,,,,,,,,
829826,accessory,3,1,,,,,,,,,1,,,,,,,,
829826,accessory,4,1,,,,,,,,,1,,,,,,,,
829826,accessory,5,1,,,,,,,,,1,,,,,,,,
829826,accessory,6,1,,,,,,,,,1,,,,,,,,
829826,accessory,7,1,,,,,,,,,1,,,,,,,,
829826,accessory,8,1,,,,,,,,,1,,,,,,,,
829826,accessory,9,1,,,,,,,,,1,,,,,,,,
829827,accessory,1,1,,1,,,1,,,1,1,1,1,1,1,,1,1,
829827,accessory,11,1,,1,,,1,,,1,1,1,1,1,1,,1,1,
829827,accessory,12,1,,1,,,1,,,1,1,1,1,1,1,,1,1,
829827,accessory,14,1,,1,,,1,,,1,1,1,1,1,1,,1,1,
829827,accessory,15,1,,1,,,1,,,1,1,1,1,1,1,,1,1,
829827,accessory,7,1,,1,,,1,,,1,1,1,1,1,1,,1,1,
829828,accessory,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
829828,accessory,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,
829829,accessory,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,
829829,accessory,6,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,
829830,accessory,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,
829830,accessory,16,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,
829831,accessory,1,1,,1,1,1,1,,1,,1,1,,,,1,1,1,
829831,accessory,14,1,,1,1,1,1,,1,,1,1,,,,1,1,1,
829831,accessory,16,1,,1,1,1,1,,1,,1,1,,,,1,1,1,
829831,accessory,4,1,,1,1,1,1,,1,,1,1,,,,1,1,1,
829831,accessory,5,1,,1,1,1,1,,1,,1,1,,,,1,1,1,
829831,accessory,6,1,,1,1,1,1,,1,,1,1,,,,1,1,1,
829834,accessory,1,1,,,,,,,,,1,,,,,,,,
829834,accessory,10,1,,,,,,,,,1,,,,,,,,
829834,accessory,11,1,,,,,,,,,1,,,,,,,,
829834,accessory,12,1,,,,,,,,,1,,,,,,,,
829834,accessory,13,1,,,,,,,,,1,,,,,,,,
829834,accessory,14,1,,,,,,,,,1,,,,,,,,
829834,accessory,15,1,,,,,,,,,1,,,,,,,,
829834,accessory,16,1,,,,,,,,,1,,,,,,,,
829834,accessory,3,1,,,,,,,,,1,,,,,,,,
829834,accessory,4,1,,,,,,,,,1,,,,,,,,
829834,accessory,5,1,,,,,,,,,1,,,,,,,,
829834,accessory,6,1,,,,,,,,,1,,,,,,,,
829834,accessory,7,1,,,,,,,,,1,,,,,,,,
829834,accessory,8,1,,,,,,,,,1,,,,,,,,
829834,accessory,9,1,,,,,,,,,1,,,,,,,,
829835,accessory,1,1,,,,,,,,1,,,,,,,,,
829835,accessory,10,1,,,,,,,,1,,,,,,,,,
829835,accessory,11,1,,,,,,,,1,,,,,,,,,
829835,accessory,12,1,,,,,,,,1,,,,,,,,,
829835,accessory,13,1,,,,,,,,1,,,,,,,,,
829835,accessory,14,1,,,,,,,,1,,,,,,,,,
829835,accessory,15,1,,,,,,,,1,,,,,,,,,
829835,accessory,2,1,,,,,,,,1,,,,,,,,,
829835,accessory,3,1,,,,,,,,1,,,,,,,,,
829835,accessory,4,1,,,,,,,,1,,,,,,,,,
829835,accessory,5,1,,,,,,,,1,,,,,,,,,
829835,accessory,6,1,,,,,,,,1,,,,,,,,,
829835,accessory,7,1,,,,,,,,1,,,,,,,,,
829835,accessory,8,1,,,,,,,,1,,,,,,,,,
829835,accessory,9,1,,,,,,,,1,,,,,,,,,
829836,accessory,1,2,,1,1,1,1,1,,1,2,1,1,1,1,1,1,1,
829836,accessory,15,2,,1,1,1,1,1,,1,2,1,1,1,1,1,1,1,
829837,accessory,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,
829837,accessory,16,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,
829838,accessory,1,1,,,,,,,,,1,,,,,,,,
829838,accessory,10,1,,,,,,,,,1,,,,,,,,
829838,accessory,11,1,,,,,,,,,1,,,,,,,,
829838,accessory,12,1,,,,,,,,,1,,,,,,,,
829838,accessory,13,1,,,,,,,,,1,,,,,,,,
829838,accessory,14,1,,,,,,,,,1,,,,,,,,
829838,accessory,15,1,,,,,,,,,1,,,,,,,,
829838,accessory,16,1,,,,,,,,,1,,,,,,,,
829838,accessory,3,1,,,,,,,,,1,,,,,,,,
829838,accessory,4,1,,,,,,,,,1,,,,,,,,
829838,accessory,5,1,,,,,,,,,1,,,,,,,,
829838,accessory,6,1,,,,,,,,,1,,,,,,,,
829838,accessory,7,1,,,,,,,,,1,,,,,,,,
829838,accessory,8,1,,,,,,,,,1,,,,,,,,
829838,accessory,9,1,,,,,,,,,1,,,,,,,,
829839,core,4,2,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,
829840,accessory,1,1,,,,,,,,,1,,,,,,,,
829840,accessory,10,1,,,,,,,,,1,,,,,,,,
829840,accessory,11,1,,,,,,,,,1,,,,,,,,
829840,accessory,12,1,,,,,,,,,1,,,,,,,,
829840,accessory,13,1,,,,,,,,,1,,,,,,,,
829840,accessory,14,1,,,,,,,,,1,,,,,,,,
829840,accessory,15,1,,,,,,,,,1,,,,,,,,
829840,accessory,16,1,,,,,,,,,1,,,,,,,,
829840,accessory,3,1,,,,,,,,,1,,,,,,,,
829840,accessory,4,1,,,,,,,,,1,,,,,,,,
829840,accessory,5,1,,,,,,,,,1,,,,,,,,
829840,accessory,6,1,,,,,,,,,1,,,,,,,,
829840,accessory,7,1,,,,,,,,,1,,,,,,,,
829840,accessory,8,1,,,,,,,,,1,,,,,,,,
829840,accessory,9,1,,,,,,,,,1,,,,,,,,
829841,accessory,14,2,2,2,2,2,2,,2,2,2,2,2,2,1,1,2,2,
829842,accessory,10,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,
829842,accessory,7,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,
829843,accessory,4,2,1,2,2,1,2,2,2,2,2,1,,2,2,2,2,2,
829844,core,1,2,,,,,,,,,1,,,,,,,,
829844,core,10,2,,,,,,,,,1,,,,,,,,
829844,core,11,2,,,,,,,,,1,,,,,,,,
829844,core,12,2,,,,,,,,,1,,,,,,,,
829844,core,13,2,,,,,,,,,1,,,,,,,,
829844,core,14,2,,,,,,,,,1,,,,,,,,
829844,core,15,2,,,,,,,,,1,,,,,,,,
829844,core,16,2,,,,,,,,,1,,,,,,,,
829844,core,3,2,,,,,,,,,1,,,,,,,,
829844,core,4,2,,,,,,,,,1,,,,,,,,
829844,core,5,2,,,,,,,,,1,,,,,,,,
829844,core,6,2,,,,,,,,,1,,,,,,,,
829844,core,7,2,,,,,,,,,1,,,,,,,,
829844,core,8,2,,,,,,,,,1,,,,,,,,
829844,core,9,2,,,,,,,,,1,,,,,,,,
829845,core,1,2,,,,,,,,,1,,,,,,,,
829845,core,10,2,,,,,,,,,1,,,,,,,,
829845,core,11,2,,,,,,,,,1,,,,,,,,
829845,core,12,2,,,,,,,,,1,,,,,,,,
829845,core,13,2,,,,,,,,,1,,,,,,,,
829845,core,14,2,,,,,,,,,1,,,,,,,,
829845,core,15,2,,,,,,,,,1,,,,,,,,
829845,core,16,2,,,,,,,,,1,,,,,,,,
829845,core,3,2,,,,,,,,,1,,,,,,,,
829845,core,4,2,,,,,,,,,1,,,,,,,,
829845,core,5,2,,,,,,,,,1,,,,,,,,
829845,core,6,2,,,,,,,,,1,,,,,,,,
829845,core,7,2,,,,,,,,,1,,,,,,,,
829845,core,8,2,,,,,,,,,1,,,,,,,,
829845,core,9,2,,,,,,,,,1,,,,,,,,
829847,accessory,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
829847,accessory,10,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
829848,core,1,3,,,,,,,,,2,,,,,,,,
829848,core,10,3,,,,,,,,,2,,,,,,,,
829848,core,11,3,,,,,,,,,2,,,,,,,,
829848,core,12,3,,,,,,,,,2,,,,,,,,
829848,core,13,3,,,,,,,,,2,,,,,,,,
829848,core,14,3,,,,,,,,,2,,,,,,,,
829848,core,15,3,,,,,,,,,2,,,,,,,,
829848,core,16,3,,,,,,,,,2,,,,,,,,
829848,core,3,3,,,,,,,,,2,,,,,,,,
829848,core,4,3,,,,,,,,,2,,,,,,,,
829848,core,5,3,,,,,,,,,2,,,,,,,,
829848,core,6,3,,,,,,,,,2,,,,,,,,
829848,core,7,3,,,,,,,,,2,,,,,,,,
829848,core,8,3,,,,,,,,,2,,,,,,,,
829848,core,9,3,,,,,,,,,2,,,,,,,,
829850,accessory,1,1,,1,,,,,,,1,,,,,,,,
829850,accessory,11,1,,1,,,,,,,1,,,,,,,,
829850,accessory,12,1,,1,,,,,,,1,,,,,,,,
829850,accessory,13,1,,1,,,,,,,1,,,,,,,,
829850,accessory,14,1,,1,,,,,,,1,,,,,,,,
829850,accessory,15,1,,1,,,,,,,1,,,,,,,,
829850,accessory,16,1,,1,,,,,,,1,,,,,,,,
829850,accessory,3,1,,1,,,,,,,1,,,,,,,,
829850,accessory,4,1,,1,,,,,,,1,,,,,,,,
829850,accessory,5,1,,1,,,,,,,1,,,,,,,,
829850,accessory,6,1,,1,,,,,,,1,,,,,,,,
829850,accessory,7,1,,1,,,,,,,1,,,,,,,,
829850,accessory,8,1,,1,,,,,,,1,,,,,,,,
829850,accessory,9,1,,1,,,,,,,1,,,,,,,,
829851,accessory,16,2,2,2,1,1,1,2,1,,2,2,2,1,1,2,2,1,
829852,accessory,1,1,,1,,1,1,1,,,1,,1,,1,1,,,
829852,accessory,11,1,,1,,1,1,1,,,1,,1,,1,1,,,
829852,accessory,15,1,,1,,1,1,1,,,1,,1,,1,1,,,
829852,accessory,16,1,,1,,1,1,1,,,1,,1,,1,1,,,
829852,accessory,3,1,,1,,1,1,1,,,1,,1,,1,1,,,
829852,accessory,5,1,,1,,1,1,1,,,1,,1,,1,1,,,
829852,accessory,8,1,,1,,1,1,1,,,1,,1,,1,1,,,
829852,accessory,9,1,,1,,1,1,1,,,1,,1,,1,1,,,
829853,accessory,8,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,,2,
829854,accessory,3,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,
829854,accessory,4,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,
829854,accessory,7,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,
829855,accessory,10,2,2,,2,2,2,2,2,2,2,2,2,2,2,1,2,2,
829856,accessory,14,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,
829856,accessory,7,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,
829857,accessory,16,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,
829857,accessory,4,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,
829862,accessory,1,1,,,,,,,,,1,,,,,,,,
829862,accessory,10,1,,,,,,,,,1,,,,,,,,
829862,accessory,11,1,,,,,,,,,1,,,,,,,,
829862,accessory,12,1,,,,,,,,,1,,,,,,,,
829862,accessory,13,1,,,,,,,,,1,,,,,,,,
829862,accessory,14,1,,,,,,,,,1,,,,,,,,
829862,accessory,15,1,,,,,,,,,1,,,,,,,,
829862,accessory,16,1,,,,,,,,,1,,,,,,,,
829862,accessory,3,1,,,,,,,,,1,,,,,,,,
829862,accessory,4,1,,,,,,,,,1,,,,,,,,
829862,accessory,5,1,,,,,,,,,1,,,,,,,,
829862,accessory,6,1,,,,,,,,,1,,,,,,,,
829862,accessory,7,1,,,,,,,,,1,,,,,,,,
829862,accessory,8,1,,,,,,,,,1,,,,,,,,
829862,accessory,9,1,,,,,,,,,1,,,,,,,,
829864,accessory,1,1,,,,,,,,,1,,,,,,,,
829864,accessory,10,1,,,,,,,,,1,,,,,,,,
829864,accessory,11,1,,,,,,,,,1,,,,,,,,
829864,accessory,12,1,,,,,,,,,1,,,,,,,,
829864,accessory,13,1,,,,,,,,,1,,,,,,,,
829864,accessory,14,1,,,,,,,,,1,,,,,,,,
829864,accessory,15,1,,,,,,,,,1,,,,,,,,
829864,accessory,16,1,,,,,,,,,1,,,,,,,,
829864,accessory,3,1,,,,,,,,,1,,,,,,,,
829864,accessory,4,1,,,,,,,,,1,,,,,,,,
829864,accessory,5,1,,,,,,,,,1,,,,,,,,
829864,accessory,6,1,,,,,,,,,1,,,,,,,,
829864,accessory,7,1,,,,,,,,,1,,,,,,,,
829864,accessory,8,1,,,,,,,,,1,,,,,,,,
829864,accessory,9,1,,,,,,,,,1,,,,,,,,
829865,accessory,1,1,,,,,,,,,1,,,,,,,,
829865,accessory,10,1,,,,,,,,,1,,,,,,,,
829865,accessory,11,1,,,,,,,,,1,,,,,,,,
829865,accessory,12,1,,,,,,,,,1,,,,,,,,
829865,accessory,13,1,,,,,,,,,1,,,,,,,,
829865,accessory,14,1,,,,,,,,,1,,,,,,,,
829865,accessory,15,1,,,,,,,,,1,,,,,,,,
829865,accessory,16,1,,,,,,,,,1,,,,,,,,
829865,accessory,3,1,,,,,,,,,1,,,,,,,,
829865,accessory,4,1,,,,,,,,,1,,,,,,,,
829865,accessory,5,1,,,,,,,,,1,,,,,,,,
829865,accessory,6,1,,,,,,,,,1,,,,,,,,
829865,accessory,7,1,,,,,,,,,1,,,,,,,,
829865,accessory,8,1,,,,,,,,,1,,,,,,,,
829865,accessory,9,1,,,,,,,,,1,,,,,,,,
829866,accessory,1,1,,,,,,,,,1,,,,,,,,
829866,accessory,10,1,,,,,,,,,1,,,,,,,,
829866,accessory,11,1,,,,,,,,,1,,,,,,,,
829866,accessory,12,1,,,,,,,,,1,,,,,,,,
829866,accessory,13,1,,,,,,,,,1,,,,,,,,
829866,accessory,14,1,,,,,,,,,1,,,,,,,,
829866,accessory,15,1,,,,,,,,,1,,,,,,,,
829866,accessory,16,1,,,,,,,,,1,,,,,,,,
829866,accessory,3,1,,,,,,,,,1,,,,,,,,
829866,accessory,4,1,,,,,,,,,1,,,,,,,,
829866,accessory,5,1,,,,,,,,,1,,,,,,,,
829866,accessory,6,1,,,,,,,,,1,,,,,,,,
829866,accessory,7,1,,,,,,,,,1,,,,,,,,
829866,accessory,8,1,,,,,,,,,1,,,,,,,,
829866,accessory,9,1,,,,,,,,,1,,,,,,,,
829867,core,1,3,,,,,,,,1,2,,1,,,,,,
829867,core,10,3,,,,,,,,1,2,,1,,,,,,
829867,core,11,3,,,,,,,,1,2,,1,,,,,,
829867,core,12,3,,,,,,,,1,2,,1,,,,,,
829867,core,13,3,,,,,,,,1,2,,1,,,,,,
829867,core,14,3,,,,,,,,1,2,,1,,,,,,
829867,core,15,3,,,,,,,,1,2,,1,,,,,,
829867,core,3,3,,,,,,,,1,2,,1,,,,,,
829867,core,5,3,,,,,,,,1,2,,1,,,,,,
829867,core,6,3,,,,,,,,1,2,,1,,,,,,
829867,core,7,3,,,,,,,,1,2,,1,,,,,,
829867,core,8,3,,,,,,,,1,2,,1,,,,,,
829867,core,9,3,,,,,,,,1,2,,1,,,,,,
829868,accessory,16,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,
