# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Complete	gene-DARMORV10_C09P75640.1	9021.2	4307	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
37at3699	Duplicated	gene-DARMORV10_C04P51730.1	4453.9	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Duplicated	gene-DARMORV10_A05P01210.1	4251.1	2188	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
38at3699	Duplicated	gene-DARMORV10_C04P01360.1	4227.4	2188	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Complete	gene-DARMORV10_A03P15140.1	4403.5	1964	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Duplicated	gene-DARMORV10_A06P35170.1	4055.1	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
43at3699	Duplicated	gene-DARMORV10_C07P43390.1	4022.2	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Duplicated	gene-DARMORV10_C02P61380.1	3992.5	1817	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
45at3699	Duplicated	gene-DARMORV10_A02P41450.1	3988.3	1817	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Duplicated	gene-DARMORV10_A04P19870.1	3601.2	1747	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
49at3699	Duplicated	gene-DARMORV10_C04P55600.1	3588.2	1741	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Duplicated	gene-DARMORV10_A06P40280.1	3501.6	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
50at3699	Duplicated	gene-DARMORV10_C07P37790.1	3491.6	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Duplicated	gene-DARMORV10_A09P60750.1	3556.8	1860	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
51at3699	Duplicated	gene-DARMORV10_C08P44330.1	3555.0	1860	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Duplicated	gene-DARMORV10_A07P33800.1	3615.6	1804	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
53at3699	Duplicated	gene-DARMORV10_C06P43130.1	3607.9	1804	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Duplicated	gene-DARMORV10_A05P34860.1	3888.0	1788	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
58at3699	Duplicated	gene-DARMORV10_C05P52710.1	3795.6	1762	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Duplicated	gene-DARMORV10_C09P12370.1	3811.2	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
60at3699	Duplicated	gene-DARMORV10_A09P10430.1	3808.8	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Duplicated	gene-DARMORV10_C07P52320.1	3144.8	1824	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	gene-DARMORV10_A01P14240.1	3278.6	1823	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	gene-DARMORV10_A03P53910.1	3141.8	1823	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	gene-DARMORV10_C01P17510.1	3240.2	1822	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Duplicated	gene-DARMORV10_C04P11160.1	3875.0	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
71at3699	Duplicated	gene-DARMORV10_A05P09030.1	3856.8	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
74at3699	Duplicated	gene-DARMORV10_C05P49030.1	3039.7	1665	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
74at3699	Duplicated	gene-DARMORV10_A05P32390.1	2878.1	1509	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
75at3699	Duplicated	gene-DARMORV10_A09P47280.1	3564.5	1715	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
75at3699	Duplicated	gene-DARMORV10_C08P29510.1	3554.0	1715	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
78at3699	Duplicated	gene-DARMORV10_A03P23380.1	3219.3	1612	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
78at3699	Duplicated	gene-DARMORV10_C03P27900.1	3157.9	1548	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
79at3699	Duplicated	gene-DARMORV10_A05P44550.1	3082.6	1781	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
79at3699	Duplicated	gene-DARMORV10_C09P75140.1	3107.2	1759	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
81at3699	Duplicated	gene-DARMORV10_A10P00870.1	3365.1	1579	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
81at3699	Duplicated	gene-DARMORV10_C05P00900.1	3353.2	1579	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
83at3699	Duplicated	gene-DARMORV10_A07P20280.1	3253.8	1672	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
83at3699	Duplicated	gene-DARMORV10_C06P19070.1	3250.9	1672	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
84at3699	Duplicated	gene-DARMORV10_A07P17720.1	3306.5	1651	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
84at3699	Duplicated	gene-DARMORV10_C07P25670.1	3289.0	1651	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
90at3699	Duplicated	gene-DARMORV10_A05P36660.1	3264.3	1679	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
90at3699	Duplicated	gene-DARMORV10_C05P55090.1	3259.5	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
91at3699	Duplicated	gene-DARMORV10_C07P63600.1	3187.6	1721	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
91at3699	Duplicated	gene-DARMORV10_A06P48910.1	3180.0	1721	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
94at3699	Duplicated	gene-DARMORV10_A09P43370.1	2583.6	1736	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
94at3699	Duplicated	gene-DARMORV10_C08P25410.1	2522.7	1694	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
96at3699	Duplicated	gene-DARMORV10_A01P05470.1	2991.6	1541	https://v10-1.orthodb.org/?query=96at3699	Tetratricopeptide repeat (TPR)-like superfamily protein
96at3699	Duplicated	gene-DARMORV10_C01P06070.1	2980.6	1541	https://v10-1.orthodb.org/?query=96at3699	Tetratricopeptide repeat (TPR)-like superfamily protein
97at3699	Duplicated	gene-DARMORV10_C06P38660.1	2924.9	1505	https://v10-1.orthodb.org/?query=97at3699	DNA-directed DNA polymerase, family B, exonuclease domain
97at3699	Duplicated	gene-DARMORV10_A07P32520.1	2923.4	1505	https://v10-1.orthodb.org/?query=97at3699	DNA-directed DNA polymerase, family B, exonuclease domain
98at3699	Duplicated	gene-DARMORV10_A03P22490.1	3026.5	1511	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
98at3699	Duplicated	gene-DARMORV10_C03P26640.1	3022.0	1511	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
102at3699	Duplicated	gene-DARMORV10_A03P06030.1	3123.7	1435	https://v10-1.orthodb.org/?query=102at3699	Zinc finger, RING-type
102at3699	Duplicated	gene-DARMORV10_C03P07080.1	3089.2	1435	https://v10-1.orthodb.org/?query=102at3699	Zinc finger, RING-type
103at3699	Duplicated	gene-DARMORV10_C03P46300.1	3310.2	1602	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
103at3699	Duplicated	gene-DARMORV10_A03P38140.1	3307.0	1602	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
107at3699	Duplicated	gene-DARMORV10_A04P01370.1	3195.6	1535	https://v10-1.orthodb.org/?query=107at3699	Sec7, C-terminal
107at3699	Duplicated	gene-DARMORV10_C04P31720.1	3175.4	1535	https://v10-1.orthodb.org/?query=107at3699	Sec7, C-terminal
112at3699	Duplicated	gene-DARMORV10_A01P09670.1	2906.3	1505	https://v10-1.orthodb.org/?query=112at3699	tRNA/rRNA methyltransferase, SpoU type
112at3699	Duplicated	gene-DARMORV10_C01P11280.1	2903.0	1505	https://v10-1.orthodb.org/?query=112at3699	tRNA/rRNA methyltransferase, SpoU type
113at3699	Complete	gene-DARMORV10_C08P53970.1	3271.0	1541	https://v10-1.orthodb.org/?query=113at3699	Sec7, C-terminal
115at3699	Duplicated	gene-DARMORV10_A04P28120.1	3028.0	1483	https://v10-1.orthodb.org/?query=115at3699	Protein SHOOT GRAVITROPISM 6
115at3699	Duplicated	gene-DARMORV10_C04P65510.1	3027.3	1483	https://v10-1.orthodb.org/?query=115at3699	Protein SHOOT GRAVITROPISM 6
119at3699	Duplicated	gene-DARMORV10_A07P37570.1	2882.0	1394	https://v10-1.orthodb.org/?query=119at3699	UDP-glucose:Glycoprotein Glucosyltransferase
119at3699	Duplicated	gene-DARMORV10_C06P45330.1	2837.8	1394	https://v10-1.orthodb.org/?query=119at3699	UDP-glucose:Glycoprotein Glucosyltransferase
121at3699	Duplicated	gene-DARMORV10_A02P15460.1	2987.6	1441	https://v10-1.orthodb.org/?query=121at3699	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
121at3699	Duplicated	gene-DARMORV10_C02P25570.1	2904.8	1440	https://v10-1.orthodb.org/?query=121at3699	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
125at3699	Duplicated	gene-DARMORV10_A05P30450.1	2803.5	1539	https://v10-1.orthodb.org/?query=125at3699	Autophagy-related, C-terminal
125at3699	Duplicated	gene-DARMORV10_C05P46050.1	2802.8	1539	https://v10-1.orthodb.org/?query=125at3699	Autophagy-related, C-terminal
132at3699	Duplicated	gene-DARMORV10_A08P26750.1	2934.1	1502	https://v10-1.orthodb.org/?query=132at3699	THO complex, subunitTHOC2, C-terminal
132at3699	Duplicated	gene-DARMORV10_C03P73260.1	2930.1	1502	https://v10-1.orthodb.org/?query=132at3699	THO complex, subunitTHOC2, C-terminal
134at3699	Duplicated	gene-DARMORV10_C09P01080.1	3109.8	1562	https://v10-1.orthodb.org/?query=134at3699	Vacuolar protein sorting-associated protein 8, central domain
134at3699	Duplicated	gene-DARMORV10_A09P00990.1	3107.5	1562	https://v10-1.orthodb.org/?query=134at3699	Vacuolar protein sorting-associated protein 8, central domain
141at3699	Duplicated	gene-DARMORV10_A06P40990.1	3078.1	1594	https://v10-1.orthodb.org/?query=141at3699	Protein RST1
141at3699	Duplicated	gene-DARMORV10_C07P36860.1	3047.9	1594	https://v10-1.orthodb.org/?query=141at3699	Protein RST1
142at3699	Duplicated	gene-DARMORV10_A01P08000.1	2671.3	1582	https://v10-1.orthodb.org/?query=142at3699	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
142at3699	Duplicated	gene-DARMORV10_C01P08940.1	2648.8	1580	https://v10-1.orthodb.org/?query=142at3699	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
143at3699	Duplicated	gene-DARMORV10_A05P42820.1	2790.0	1368	https://v10-1.orthodb.org/?query=143at3699	Mediator complex, subunit Med14
143at3699	Duplicated	gene-DARMORV10_C05P62540.1	2779.4	1358	https://v10-1.orthodb.org/?query=143at3699	Mediator complex, subunit Med14
145at3699	Duplicated	gene-DARMORV10_A03P39160.1	2662.6	1463	https://v10-1.orthodb.org/?query=145at3699	AAA ATPase, AAA+ lid domain
145at3699	Duplicated	gene-DARMORV10_C03P47510.1	2639.4	1462	https://v10-1.orthodb.org/?query=145at3699	AAA ATPase, AAA+ lid domain
148at3699	Duplicated	gene-DARMORV10_A10P00600.1	2824.2	1408	https://v10-1.orthodb.org/?query=148at3699	CLU central domain
148at3699	Duplicated	gene-DARMORV10_C05P00630.1	2837.2	1399	https://v10-1.orthodb.org/?query=148at3699	CLU central domain
155at3699	Duplicated	gene-DARMORV10_A07P37410.1	2594.4	1331	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	gene-DARMORV10_C06P45120.1	2578.5	1331	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	gene-DARMORV10_A02P17090.1	2660.8	1327	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	gene-DARMORV10_C02P28530.1	2657.8	1326	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
164at3699	Duplicated	gene-DARMORV10_A10P21030.1	2797.8	1406	https://v10-1.orthodb.org/?query=164at3699	WD40 repeat
164at3699	Duplicated	gene-DARMORV10_C09P57960.1	2777.4	1406	https://v10-1.orthodb.org/?query=164at3699	WD40 repeat
169at3699	Complete	gene-DARMORV10_A08P12280.1	2441.3	1226	https://v10-1.orthodb.org/?query=169at3699	FAD dependent oxidoreductase
172at3699	Duplicated	gene-DARMORV10_A04P20490.1	2740.4	1283	https://v10-1.orthodb.org/?query=172at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
172at3699	Duplicated	gene-DARMORV10_C04P56260.1	2731.1	1283	https://v10-1.orthodb.org/?query=172at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
173at3699	Duplicated	gene-DARMORV10_A01P40430.1	2597.1	1329	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	gene-DARMORV10_A09P12850.1	2546.3	1321	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	gene-DARMORV10_C09P15240.1	2545.5	1321	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	gene-DARMORV10_A10P02580.1	2797.9	1312	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	gene-DARMORV10_C05P02380.1	2793.9	1312	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
177at3699	Duplicated	gene-DARMORV10_A01P04980.1	2654.0	1265	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
177at3699	Duplicated	gene-DARMORV10_C01P05430.1	2636.7	1265	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
177at3699	Duplicated	gene-DARMORV10_C07P59550.1	2502.2	1265	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
177at3699	Duplicated	gene-DARMORV10_A03P61890.1	2494.0	1265	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
178at3699	Complete	gene-DARMORV10_C03P77170.1	3224.2	1637	https://v10-1.orthodb.org/?query=178at3699	HECT domain
179at3699	Duplicated	gene-DARMORV10_A07P29480.1	2622.9	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	gene-DARMORV10_C06P48450.1	2614.7	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	gene-DARMORV10_A07P40090.1	2635.8	1206	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	gene-DARMORV10_C06P33470.1	2632.3	1205	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
182at3699	Duplicated	gene-DARMORV10_A03P06120.1	2718.2	1239	https://v10-1.orthodb.org/?query=182at3699	Magnesium-chelatase subunit ChlH, chloroplastic
182at3699	Duplicated	gene-DARMORV10_C03P07120.1	2718.1	1239	https://v10-1.orthodb.org/?query=182at3699	Magnesium-chelatase subunit ChlH, chloroplastic
185at3699	Duplicated	gene-DARMORV10_A06P11580.1	2718.6	1274	https://v10-1.orthodb.org/?query=185at3699	ABC-2 type transporter
185at3699	Duplicated	gene-DARMORV10_C05P13730.1	2706.3	1274	https://v10-1.orthodb.org/?query=185at3699	ABC-2 type transporter
190at3699	Duplicated	gene-DARMORV10_A02P12180.1	2642.2	1263	https://v10-1.orthodb.org/?query=190at3699	Cleavage and polyadenylation specificity factor subunit 1
190at3699	Duplicated	gene-DARMORV10_C02P20300.1	2637.5	1263	https://v10-1.orthodb.org/?query=190at3699	Cleavage and polyadenylation specificity factor subunit 1
192at3699	Complete	gene-DARMORV10_A02P06630.1	2117.4	1051	https://v10-1.orthodb.org/?query=192at3699	DNA-directed RNA polymerase subunit
196at3699	Duplicated	gene-DARMORV10_A09P20120.1	2440.4	1419	https://v10-1.orthodb.org/?query=196at3699	GYF domain
196at3699	Duplicated	gene-DARMORV10_C09P25510.1	2435.3	1419	https://v10-1.orthodb.org/?query=196at3699	GYF domain
213at3699	Duplicated	gene-DARMORV10_C04P67440.1	2202.2	1342	https://v10-1.orthodb.org/?query=213at3699	Putative zinc-finger domain
213at3699	Duplicated	gene-DARMORV10_A04P30380.1	2223.4	1341	https://v10-1.orthodb.org/?query=213at3699	Putative zinc-finger domain
214at3699	Duplicated	gene-DARMORV10_A03P15740.1	2188.3	1346	https://v10-1.orthodb.org/?query=214at3699	Protein SHORTAGE IN CHIASMATA 1
214at3699	Duplicated	gene-DARMORV10_C03P18410.1	2157.0	1346	https://v10-1.orthodb.org/?query=214at3699	Protein SHORTAGE IN CHIASMATA 1
217at3699	Duplicated	gene-DARMORV10_A09P13680.1	2469.2	1273	https://v10-1.orthodb.org/?query=217at3699	Zinc finger, C5HC2-type
217at3699	Duplicated	gene-DARMORV10_C09P16350.1	2474.7	1271	https://v10-1.orthodb.org/?query=217at3699	Zinc finger, C5HC2-type
223at3699	Duplicated	gene-DARMORV10_A05P31680.1	2707.4	1280	https://v10-1.orthodb.org/?query=223at3699	Pentatricopeptide repeat
223at3699	Duplicated	gene-DARMORV10_C05P48080.1	2372.5	1123	https://v10-1.orthodb.org/?query=223at3699	Pentatricopeptide repeat
224at3699	Duplicated	gene-DARMORV10_A03P08830.1	127.9	52	https://v10-1.orthodb.org/?query=224at3699	Cytoplasmic FMR1-interacting
224at3699	Duplicated	gene-DARMORV10_C03P10320.1	127.9	52	https://v10-1.orthodb.org/?query=224at3699	Cytoplasmic FMR1-interacting
226at3699	Duplicated	gene-DARMORV10_C09P46210.1	2589.5	1246	https://v10-1.orthodb.org/?query=226at3699	Protein TORNADO 1
226at3699	Duplicated	gene-DARMORV10_A10P12730.1	2588.2	1246	https://v10-1.orthodb.org/?query=226at3699	Protein TORNADO 1
227at3699	Duplicated	gene-DARMORV10_A05P43890.1	2090.7	1136	https://v10-1.orthodb.org/?query=227at3699	Dicer dimerisation domain
227at3699	Duplicated	gene-DARMORV10_C05P63490.1	2065.1	1136	https://v10-1.orthodb.org/?query=227at3699	Dicer dimerisation domain
235at3699	Duplicated	gene-DARMORV10_C09P15860.1	2408.0	1272	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
235at3699	Duplicated	gene-DARMORV10_A09P13380.1	2417.5	1271	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
235at3699	Duplicated	gene-DARMORV10_C04P29320.1	2415.3	1267	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
235at3699	Duplicated	gene-DARMORV10_A03P68370.1	2404.3	1267	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
236at3699	Duplicated	gene-DARMORV10_A05P33170.1	2628.0	1271	https://v10-1.orthodb.org/?query=236at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
236at3699	Duplicated	gene-DARMORV10_C05P50140.1	2620.5	1271	https://v10-1.orthodb.org/?query=236at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
236at3699	Duplicated	gene-DARMORV10_A01P37850.1	2624.0	1268	https://v10-1.orthodb.org/?query=236at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
238at3699	Duplicated	gene-DARMORV10_A09P51520.1	2488.9	1224	https://v10-1.orthodb.org/?query=238at3699	ABC transporter type 1, transmembrane domain
238at3699	Duplicated	gene-DARMORV10_C08P34280.1	2471.5	1209	https://v10-1.orthodb.org/?query=238at3699	ABC transporter type 1, transmembrane domain
245at3699	Duplicated	gene-DARMORV10_A04P01770.1	2309.8	1356	https://v10-1.orthodb.org/?query=245at3699	Eukaryotic translation initiation factor 4G
245at3699	Duplicated	gene-DARMORV10_C04P32490.1	2287.9	1356	https://v10-1.orthodb.org/?query=245at3699	Eukaryotic translation initiation factor 4G
255at3699	Duplicated	gene-DARMORV10_A06P20600.1	2377.0	1144	https://v10-1.orthodb.org/?query=255at3699	ATP-dependent RNA helicase Ski2, C-terminal
255at3699	Duplicated	gene-DARMORV10_C03P71130.1	2359.3	1143	https://v10-1.orthodb.org/?query=255at3699	ATP-dependent RNA helicase Ski2, C-terminal
260at3699	Duplicated	gene-DARMORV10_A09P54080.1	2367.4	1109	https://v10-1.orthodb.org/?query=260at3699	Metal ion-binding protein
260at3699	Duplicated	gene-DARMORV10_C08P36970.1	2357.6	1109	https://v10-1.orthodb.org/?query=260at3699	Metal ion-binding protein
267at3699	Duplicated	gene-DARMORV10_A06P14290.1	2586.8	1254	https://v10-1.orthodb.org/?query=267at3699	Four-carbon acid sugar kinase, N-terminal domain
267at3699	Duplicated	gene-DARMORV10_C05P16550.1	2562.9	1254	https://v10-1.orthodb.org/?query=267at3699	Four-carbon acid sugar kinase, N-terminal domain
268at3699	Duplicated	gene-DARMORV10_A10P20100.1	2486.3	1198	https://v10-1.orthodb.org/?query=268at3699	Sec7 domain
268at3699	Duplicated	gene-DARMORV10_C09P56570.1	2484.6	1198	https://v10-1.orthodb.org/?query=268at3699	Sec7 domain
278at3699	Duplicated	gene-DARMORV10_C09P20200.1	2372.3	1150	https://v10-1.orthodb.org/?query=278at3699	Leucine-rich repeat
278at3699	Duplicated	gene-DARMORV10_A09P16630.1	2369.7	1150	https://v10-1.orthodb.org/?query=278at3699	Leucine-rich repeat
286at3699	Duplicated	gene-DARMORV10_C03P32590.1	2370.5	1182	https://v10-1.orthodb.org/?query=286at3699	Polymerase, nucleotidyl transferase domain
286at3699	Duplicated	gene-DARMORV10_A03P27130.1	2182.4	1119	https://v10-1.orthodb.org/?query=286at3699	Polymerase, nucleotidyl transferase domain
289at3699	Duplicated	gene-DARMORV10_A03P44570.1	2050.1	1059	https://v10-1.orthodb.org/?query=289at3699	Nucleoporin, Nup133/Nup155-like, C-terminal
289at3699	Duplicated	gene-DARMORV10_C03P55370.1	2024.1	1057	https://v10-1.orthodb.org/?query=289at3699	Nucleoporin, Nup133/Nup155-like, C-terminal
290at3699	Duplicated	rna-DARMORV10_A05P34910.1	2037.4	1205	https://v10-1.orthodb.org/?query=290at3699	NB-ARC
290at3699	Duplicated	rna-DARMORV10_C05P52820.1	2056.9	1174	https://v10-1.orthodb.org/?query=290at3699	NB-ARC
293at3699	Duplicated	gene-DARMORV10_C07P38680.1	2495.6	1250	https://v10-1.orthodb.org/?query=293at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
293at3699	Duplicated	gene-DARMORV10_A06P39610.1	2497.1	1248	https://v10-1.orthodb.org/?query=293at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
294at3699	Duplicated	gene-DARMORV10_A01P05730.1	2049.2	1239	https://v10-1.orthodb.org/?query=294at3699	Enhancer of polycomb-like, N-terminal
294at3699	Duplicated	gene-DARMORV10_C01P06310.1	2042.1	1236	https://v10-1.orthodb.org/?query=294at3699	Enhancer of polycomb-like, N-terminal
