	27622715.filtered	Bnigra_C2.v1.genes.filtered	Bnigra_NI100.v2.genes.filtered	BoleraceaHDEM_annotation.filtered	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered	GCA_003260655.2_B_cretica_A_v2_genomic.filtered	GCA_003260675.2_B_cretica_D_v2_genomic.filtered	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered	GCA_016771965.1_ASM1677196v1_genomic.filtered	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered	GCA_038677285.1_ASM3867728v1_genomic.filtered	GCA_040550855.1_C4012_genomic.filtered	GCA_040584065.1_ASM4058406v1_genomic.filtered	GCA_900412535.3_brapa_z1_v2_genomic.filtered	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered	GCF_000695525.1_BOL_genomic.filtered	GCF_020379485.1_Da-Ae_genomic.filtered	GWHAASO00000000.filtered	GWHAAZX00000000.filtered	GWHBJSH00000000.filtered	GWHBKKZ00000000.filtered	GWHBKLA00000000.filtered	GWHCAYN00000000.filtered	GWHDTWV00000000.filtered	GWHDTWX00000000.filtered	GWHDTYA00000000.filtered	GWHDTYD00000000.filtered	GWHDTYE00000000.filtered	GWHDTYG00000000.filtered	GWHDTYH00000000.filtered	GWHDTYJ00000000.filtered	GWHDTYK00000000.filtered	GWHDTYL00000000.filtered	GWHDTYM00000000.filtered	GWHDTZU00000000.filtered	GWHDTZV00000000.filtered	GWHDUBH00000000.filtered	GWHDUBI00000000.filtered	GWHDUBJ00000000.filtered	GWHDUBL00000000.filtered	GWHDUBM00000000.filtered	GWHDUBP00000000.filtered	GWHDUBR00000000.filtered	GWHDUBS00000000.filtered	GWHDUBT00000000.filtered	GWHEQVE00000000.filtered	GWHEQVJ00000000.filtered	GWHEQVL00000000.filtered	GWHEQVM00000000.filtered	GWHEQVN00000000.filtered	GWHEQVO00000000.filtered	GWHERGL00000000.filtered	GWHERGM00000000.filtered	GWHFIKA00000000.1.filtered	GWHFQTP00000000.1.filtered	OX_heart.filtered
Number of exon in three_prime_utr	29559.0	0.0	0.0	0.0	2382.0	469.0	659.0	28021.0	0.0	24195.0	57980.0	0.0	0.0	1707.0	12170.0	41698.0	36402.0	83160.0	0.0	1409.0	43775.0	0.0	21896.0	55133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35026.0	33108.0	26093.0
Number of intron in cds	203778.0	224544.0	199438.0	201330.0	217262.0	187481.0	177449.0	157037.0	348388.0	203598.0	422450.0	370480.0	371965.0	186436.0	382609.0	166886.0	171643.0	349062.0	234213.0	196680.0	212684.0	197210.0	223092.0	342093.0	206850.0	205841.0	204121.0	201504.0	203522.0	202663.0	207250.0	192671.0	192884.0	206832.0	191724.0	193961.0	204872.0	205175.0	204051.0	202202.0	205793.0	206192.0	212969.0	205034.0	200580.0	189262.0	180379.0	184195.0	184766.0	182648.0	184926.0	179625.0	187776.0	189160.0	328836.0	383523.0	206119.0
Number of intron in exon	211427.0	224544.0	199438.0	201330.0	1702.0	188104.0	178266.0	164430.0	348388.0	24861.0	441836.0	370480.0	371965.0	861.0	10878.0	72.0	59.0	165.0	234213.0	196680.0	237866.0	197210.0	228396.0	355954.0	206850.0	205841.0	204121.0	201504.0	203522.0	202663.0	207250.0	192671.0	192884.0	206832.0	191724.0	193961.0	204872.0	205175.0	204051.0	202202.0	205793.0	206192.0	212969.0	205034.0	200580.0	189262.0	180379.0	184195.0	184766.0	182648.0	184926.0	179625.0	187776.0	189160.0	337498.0	391084.0	213123.0
Number of intron in five_prime_utr	5578.0	0.0	0.0	0.0	414.0	411.0	501.0	5651.0	0.0	5435.0	13231.0	0.0	0.0	253.0	1425.0	8704.0	7593.0	16596.0	0.0	0.0	14384.0	0.0	3957.0	9865.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6097.0	4934.0	5224.0
Number of intron in three_prime_utr	1896.0	0.0	0.0	0.0	93.0	210.0	315.0	1555.0	0.0	4828.0	5824.0	0.0	0.0	271.0	1357.0	3593.0	1969.0	5505.0	0.0	0.0	10493.0	0.0	1216.0	3759.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2393.0	2478.0	1616.0
Number gene overlapping	2240.0	217.0	16.0	191.0	0.0	271.0	275.0	806.0	0.0	421.0	3767.0	0.0	0.0	14.0	47.0	0.0	0.0	0.0	563.0	800.0	1782.0	0.0	752.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	78.0	79.0	100.0	78.0	98.0	688.0	603.0	925.0	3507.0	2307.0
Number of single exon gene	10216.0	14084.0	15024.0	14849.0	1545.0	15993.0	16518.0	7280.0	23370.0	6798.0	19836.0	23710.0	22799.0	1825.0	4706.0	1028.0	926.0	2429.0	7833.0	5120.0	5340.0	12945.0	10797.0	19066.0	11144.0	10779.0	11068.0	10751.0	10819.0	10912.0	10982.0	11243.0	11314.0	10931.0	11329.0	11244.0	11063.0	11291.0	11025.0	10844.0	10850.0	11161.0	11195.0	10899.0	10751.0	11149.0	14539.0	13748.0	12577.0	13073.0	12833.0	13765.0	10225.0	9311.0	16869.0	9284.0	11497.0
Number of single exon mrna	10216.0	14084.0	15024.0	14849.0	55268.0	15993.0	16518.0	7280.0	23370.0	3791.0	19836.0	23712.0	22803.0	51772.0	106733.0	7043.0	8172.0	18218.0	7833.0	5120.0	5340.0	12945.0	10797.0	19066.0	11144.0	10779.0	11068.0	10751.0	10819.0	10912.0	10982.0	11243.0	11314.0	10931.0	11329.0	11244.0	11063.0	11291.0	11025.0	10844.0	10850.0	11161.0	11195.0	10899.0	10751.0	11149.0	14539.0	13748.0	12577.0	13073.0	12833.0	13765.0	10225.0	9311.0	16869.0	9284.0	11497.0
mean mrnas per gene	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mean cdss per mrna	1.0	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.6	0.6	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
mean exons per mrna	4.5	4.4	4.4	4.4	3.2	4.0	3.8	5.1	4.6	5.7	4.5	4.6	4.6	3.1	3.1	5.3	5.2	5.1	5.0	5.3	5.1	4.7	4.8	5.1	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.8	4.8	4.9	4.8	4.8	4.9	4.8	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.8	4.4	4.5	4.6	4.5	4.5	4.5	4.8	4.9	5.0	5.1	4.4
mean five_prime_utrs per mrna	0.4	0.0	0.0	0.0	0.2	0.0	0.0	0.7	0.0	0.0	0.4	0.0	0.0	0.1	0.2	0.9	0.8	0.8	0.0	0.0	0.5	0.0	0.3	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.4
mean three_prime_utrs per mrna	0.5	0.0	0.0	0.0	0.2	0.0	0.0	0.7	0.0	0.0	0.4	0.0	0.0	0.1	0.2	0.9	0.8	0.9	0.0	0.0	0.6	0.0	0.3	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.4
mean exons per cds	4.4	4.4	4.4	4.4	5.0	4.0	3.8	5.0	4.6	5.7	4.4	4.6	4.6	4.6	4.6	5.0	4.9	4.8	5.0	5.3	4.7	4.7	4.8	5.0	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.8	4.8	4.9	4.8	4.8	4.9	4.8	4.9	4.9	4.9	4.9	4.9	4.9	4.9	4.8	4.4	4.5	4.6	4.5	4.5	4.5	4.8	4.9	4.9	5.0	4.3
mean exons per five_prime_utr	1.2	0.0	0.0	0.0	1.2	2.8	3.1	1.2	0.0	1.3	1.3	0.0	0.0	1.2	1.1	1.2	1.2	1.2	0.0	1.0	1.5	0.0	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.2	1.2
mean exons per three_prime_utr	1.1	0.0	0.0	0.0	1.0	1.8	1.9	1.1	0.0	1.2	1.1	0.0	0.0	1.2	1.1	1.1	1.1	1.1	0.0	1.0	1.3	0.0	1.1	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.1	1.1
mean introns in cdss per mrna	3.4	3.4	3.4	3.4	2.2	3.0	2.8	4.0	3.6	4.7	3.4	3.6	3.6	2.0	2.0	4.0	3.9	3.8	4.0	4.3	3.7	3.7	3.8	4.0	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.8	3.8	3.9	3.8	3.8	3.9	3.8	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.8	3.4	3.5	3.6	3.5	3.5	3.5	3.8	3.9	3.9	4.0	3.3
mean introns in exons per mrna	3.5	3.4	3.4	3.4	2.2	3.0	2.8	4.1	3.6	4.7	3.5	3.6	3.6	2.1	2.1	4.3	4.2	4.1	4.0	4.3	4.1	3.7	3.8	4.1	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.8	3.8	3.9	3.8	3.8	3.9	3.8	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.8	3.4	3.5	3.6	3.5	3.5	3.5	3.8	3.9	4.0	4.1	3.4
mean introns in five_prime_utrs per mrna	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
mean introns in three_prime_utrs per mrna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Total gene length (bp)	137164603.0	110869277.0	102215262.0	119999714.0	1880916.0	95495634.0	93005573.0	89307282.0	229994661.0	48072269.0	321455910.0	232395023.0	231154424.0	940663.0	11052122.0	82524.0	73757.0	202430.0	134049062.0	102392337.0	135550482.0	105870340.0	133723976.0	210699784.0	113181459.0	112547241.0	112171449.0	109575417.0	112050999.0	110868114.0	113794704.0	101156034.0	100683241.0	113653744.0	100360188.0	101660089.0	112373914.0	112821215.0	112381022.0	110680860.0	112922541.0	113955346.0	116528413.0	112811886.0	110040821.0	98408147.0	94704731.0	104999525.0	111754178.0	94949183.0	104499032.0	93566695.0	106647578.0	103528494.0	207931930.0	334674587.0	146198136.0
Total mrna length (bp)	137164603.0	110869277.0	102215262.0	119999714.0	213000271.0	95495634.0	93005573.0	89307282.0	229994661.0	104580036.0	321455910.0	232437576.0	231197266.0	224401928.0	457038279.0	152325716.0	106878344.0	242039775.0	134049062.0	102392337.0	135550482.0	105870340.0	133723976.0	210699784.0	113181459.0	112547241.0	112171449.0	109575417.0	112050999.0	110868114.0	113794704.0	101156034.0	100683241.0	113653744.0	100360188.0	101660089.0	112373914.0	112821215.0	112381022.0	110680860.0	112922541.0	113955346.0	116528413.0	112811886.0	110040821.0	98408147.0	94704731.0	104999525.0	111754178.0	94949183.0	104499032.0	93566695.0	106647578.0	103528494.0	207931930.0	334674587.0	146198136.0
Total cds length (bp)	56656566.0	63494789.0	61292032.0	57201891.0	55772079.0	54746346.0	51968892.0	46036251.0	97218704.0	52930423.0	120703668.0	107318556.0	108203270.0	53646849.0	108738891.0	52153973.0	52612696.0	112181954.0	68215155.0	55668294.0	60496784.0	58800234.0	61126896.0	110692284.0	57264690.0	57180543.0	56730666.0	55852185.0	56412771.0	56656353.0	57185124.0	54288753.0	54560052.0	57677748.0	54334872.0	55165380.0	57006591.0	57002544.0	56904207.0	56142909.0	56899821.0	57341565.0	58290510.0	56619555.0	55985148.0	53659434.0	54823512.0	55760028.0	54965055.0	54630039.0	55003917.0	54345051.0	57694578.0	54368820.0	89596518.0	104663190.0	57046614.0
Total exon length (bp)	67801235.0	63494789.0	61292032.0	57201891.0	897704.0	54925189.0	52180762.0	56163454.0	97218704.0	9806219.0	162252856.0	107318556.0	108203270.0	376862.0	4238251.0	81485.0	73057.0	193197.0	68215155.0	56686275.0	77140709.0	58800234.0	70090413.0	134486487.0	57264690.0	57180543.0	56730666.0	55852185.0	56412771.0	56656353.0	57185124.0	54288753.0	54560052.0	57677748.0	54334872.0	55165380.0	57006591.0	57002544.0	56904207.0	56142909.0	56899821.0	57341565.0	58290510.0	56619555.0	55985148.0	53659434.0	54823512.0	55760028.0	54965055.0	54630039.0	55003917.0	54345051.0	57694578.0	54368820.0	101055369.0	118313659.0	67483274.0
Total five_prime_utr length (bp)	4173128.0	0.0	0.0	0.0	344836.0	89938.0	89939.0	4051671.0	0.0	3693299.0	17269414.0	0.0	0.0	179214.0	2114187.0	31117787.0	5257801.0	27054213.0	0.0	495520.0	7072133.0	0.0	3192418.0	9862426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3755705.0	5082609.0	4228389.0
Total three_prime_utr length (bp)	6971541.0	0.0	0.0	0.0	552868.0	88905.0	121931.0	6075532.0	0.0	6112920.0	24279774.0	0.0	0.0	197648.0	2124064.0	21894725.0	6674952.0	25608488.0	0.0	522461.0	9571792.0	0.0	5771099.0	13931777.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7703146.0	8567860.0	6208271.0
Total intron length per cds (bp)	66054707.0	47374488.0	40923230.0	62797823.0	43558091.0	40294007.0	40511231.0	31099465.0	132775957.0	51632335.0	144998534.0	125119020.0	122993996.0	58831338.0	107934703.0	33257770.0	38081152.0	67791141.0	65833907.0	45706062.0	50199845.0	47070106.0	61961081.0	72310171.0	55916769.0	55366698.0	55440783.0	53723232.0	55638228.0	54211761.0	56609580.0	46867281.0	46123189.0	55975996.0	46025316.0	46494709.0	55367323.0	55818671.0	55476815.0	54537951.0	56022720.0	56613781.0	58237903.0	56192331.0	54055673.0	44748713.0	39881219.0	49239497.0	56789123.0	40319144.0	49495115.0	39221644.0	48953000.0	49159674.0	104256393.0	213757443.0	75775017.0
Total intron length per exon (bp)	69363368.0	47374488.0	40923230.0	62797823.0	983212.0	40570445.0	40824811.0	33143828.0	132775957.0	38266050.0	159203054.0	125119020.0	122993996.0	563801.0	6813871.0	1039.0	700.0	9233.0	65833907.0	45706062.0	58409773.0	47070106.0	63633563.0	76213297.0	55916769.0	55366698.0	55440783.0	53723232.0	55638228.0	54211761.0	56609580.0	46867281.0	46123189.0	55975996.0	46025316.0	46494709.0	55367323.0	55818671.0	55476815.0	54537951.0	56022720.0	56613781.0	58237903.0	56192331.0	54055673.0	44748713.0	39881219.0	49239497.0	56789123.0	40319144.0	49495115.0	39221644.0	48953000.0	49159674.0	106876561.0	216360928.0	78714862.0
Total intron length per five_prime_utr (bp)	2135386.0	0.0	0.0	0.0	145203.0	210939.0	230376.0	1609101.0	0.0	1512391.0	8296298.0	0.0	0.0	174268.0	957915.0	7765123.0	3203684.0	7031077.0	0.0	0.0	4561464.0	0.0	1297654.0	2902631.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1898999.0	1742033.0	2109283.0
mean gene length (bp)	2276.0	1694.0	1737.0	2025.0	648.0	1512.0	1482.0	2249.0	2378.0	2107.0	2576.0	2240.0	2261.0	379.0	813.0	75.0	74.0	78.0	2269.0	2227.0	2337.0	1964.0	2251.0	2440.0	2122.0	2145.0	2117.0	2114.0	2141.0	2109.0	2130.0	1981.0	1976.0	2158.0	1977.0	1972.0	2125.0	2112.0	2136.0	2126.0	2142.0	2146.0	2122.0	2140.0	2136.0	1954.0	1791.0	1976.0	2158.0	1796.0	2004.0	1797.0	2172.0	2108.0	2456.0	3515.0	2363.0
mean mrna length (bp)	2276.0	1694.0	1737.0	2025.0	2130.0	1512.0	1482.0	2249.0	2378.0	2428.0	2576.0	2240.0	2261.0	2458.0	2420.0	3683.0	2446.0	2666.0	2269.0	2227.0	2337.0	1964.0	2251.0	2440.0	2122.0	2145.0	2117.0	2114.0	2141.0	2109.0	2130.0	1981.0	1976.0	2158.0	1977.0	1972.0	2125.0	2112.0	2136.0	2126.0	2142.0	2146.0	2122.0	2140.0	2136.0	1954.0	1791.0	1976.0	2158.0	1796.0	2004.0	1797.0	2172.0	2108.0	2456.0	3515.0	2363.0
mean cds length (bp)	940.0	970.0	1042.0	965.0	1029.0	867.0	828.0	1159.0	1005.0	1228.0	967.0	1034.0	1058.0	1046.0	1028.0	1261.0	1204.0	1235.0	1155.0	1211.0	1043.0	1091.0	1029.0	1282.0	1073.0	1090.0	1071.0	1077.0	1078.0	1077.0	1070.0	1063.0	1071.0	1095.0	1070.0	1070.0	1078.0	1067.0	1081.0	1078.0	1079.0	1080.0	1061.0	1074.0	1086.0	1065.0	1036.0	1049.0	1061.0	1033.0	1054.0	1043.0	1175.0	1107.0	1058.0	1099.0	922.0
mean exon length (bp)	249.0	218.0	237.0	219.0	195.0	218.0	216.0	275.0	218.0	205.0	286.0	226.0	228.0	112.0	173.0	69.0	69.0	70.0	232.0	233.0	260.0	234.0	243.0	304.0	220.0	221.0	220.0	220.0	220.0	221.0	219.0	222.0	223.0	222.0	224.0	224.0	221.0	220.0	221.0	220.0	220.0	221.0	217.0	219.0	222.0	223.0	235.0	234.0	232.0	231.0	232.0	234.0	243.0	228.0	239.0	243.0	245.0
