	27622715.filtered.gff	Bnigra_C2.v1.genes.filtered.gff	Bnigra_NI100.v2.genes.filtered.gff	BoleraceaHDEM_annotation.filtered.gff	GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered.gff	GCA_003260655.2_B_cretica_A_v2_genomic.filtered.gff	GCA_003260675.2_B_cretica_D_v2_genomic.filtered.gff	GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered.gff	GCA_016771965.1_ASM1677196v1_genomic.filtered.gff	GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered.gff	GCA_038677285.1_ASM3867728v1_genomic.filtered.gff	GCA_040550855.1_C4012_genomic.filtered.gff	GCA_040584065.1_ASM4058406v1_genomic.filtered.gff	GCA_900412535.3_brapa_z1_v2_genomic.filtered.gff	GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered.gff	GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.gff	GCF_000695525.1_BOL_genomic.filtered.gff	GCF_020379485.1_Da-Ae_genomic.filtered.gff	GWHAASO00000000.filtered.gff	GWHAAZX00000000.filtered.gff	GWHBJSH00000000.filtered.gff	GWHBKKZ00000000.filtered.gff	GWHBKLA00000000.filtered.gff	GWHCAYN00000000.filtered.gff	GWHDTWV00000000.filtered.gff	GWHDTWX00000000.filtered.gff	GWHDTYA00000000.filtered.gff	GWHDTYD00000000.filtered.gff	GWHDTYE00000000.filtered.gff	GWHDTYG00000000.filtered.gff	GWHDTYH00000000.filtered.gff	GWHDTYJ00000000.filtered.gff	GWHDTYK00000000.filtered.gff	GWHDTYL00000000.filtered.gff	GWHDTYM00000000.filtered.gff	GWHDTZU00000000.filtered.gff	GWHDTZV00000000.filtered.gff	GWHDUBH00000000.filtered.gff	GWHDUBI00000000.filtered.gff	GWHDUBJ00000000.filtered.gff	GWHDUBL00000000.filtered.gff	GWHDUBM00000000.filtered.gff	GWHDUBP00000000.filtered.gff	GWHDUBR00000000.filtered.gff	GWHDUBS00000000.filtered.gff	GWHDUBT00000000.filtered.gff	GWHEQVE00000000.filtered.gff	GWHEQVJ00000000.filtered.gff	GWHEQVL00000000.filtered.gff	GWHEQVM00000000.filtered.gff	GWHEQVN00000000.filtered.gff	GWHEQVO00000000.filtered.gff	GWHERGL00000000.filtered.gff	GWHERGM00000000.filtered.gff	GWHFIKA00000000.1.filtered.gff	GWHFQTP00000000.1.filtered.gff	OX_heart.filtered.gff
lnc_RNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4365.0	3917.0	9069.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1100.0	985.0	2594.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snoRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1155.0	0.0	3579.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
snRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1382.0	3.0	7260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
primary_transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
inverted_repeat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sequence_feature	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
repeat_region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
