# BUSCO version is: 5.8.3 
# The lineage dataset is: brassicales_odb10 (Creation date: 2024-01-08, number of genomes: 10, number of BUSCOs: 4596)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012C5G052380.1	9022.2	4307	https://v10-1.orthodb.org/?query=1at3699	Zinc finger, ZZ-type
30at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G010550.1	4756.9	2227	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
30at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G058280.1	4729.8	2225	https://v10-1.orthodb.org/?query=30at3699	DnaJ domain
31at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G013360.1	4363.0	2165	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
31at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G013660.1	4115.1	2114	https://v10-1.orthodb.org/?query=31at3699	Zinc finger FYVE domain protein
33at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C2G025540.1	4635.2	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
33at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G034330.1	4557.6	2306	https://v10-1.orthodb.org/?query=33at3699	Protein ILITYHIA
34at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G031800.1	3932.8	2341	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
34at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G034150.1	3655.2	2313	https://v10-1.orthodb.org/?query=34at3699	Kinesin motor domain
37at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G040680.1	4377.1	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
37at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G004390.1	4363.0	2264	https://v10-1.orthodb.org/?query=37at3699	FMP27,  C-terminal
38at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G055290.1	4204.5	2188	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
38at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G006310.1	3953.3	2186	https://v10-1.orthodb.org/?query=38at3699	WD40 repeat
42at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G081470.1	4403.7	1959	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
42at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G059060.1	4269.7	1925	https://v10-1.orthodb.org/?query=42at3699	Glutamate synthase, alpha subunit, C-terminal
43at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G059260.1	4009.6	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
43at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G035230.1	4005.1	2061	https://v10-1.orthodb.org/?query=43at3699	Sec39 domain
45at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C2G052660.1	3873.0	1817	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
45at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B4G006770.1	3620.4	1704	https://v10-1.orthodb.org/?query=45at3699	DExH-box ATP-dependent RNA helicase DExH14
49at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G000990.1	3599.2	1742	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
49at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G044100.1	3591.0	1741	https://v10-1.orthodb.org/?query=49at3699	Embryo defective 2410
50at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G029700.1	3497.8	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
50at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G050790.1	3475.0	1793	https://v10-1.orthodb.org/?query=50at3699	Thyroid adenoma-associated-like protein
51at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012B3G004740.1	3371.9	1793	https://v10-1.orthodb.org/?query=51at3699	DNA2/NAM7 helicase, AAA domain
53at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G022280.1	3571.5	1806	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
53at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C6G031320.1	3528.4	1804	https://v10-1.orthodb.org/?query=53at3699	Protein SWEETIE
58at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G040470.1	3694.2	1762	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
58at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G032870.1	3196.2	1582	https://v10-1.orthodb.org/?query=58at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
60at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C9G064020.1	3720.9	1747	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
60at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G022500.1	3171.6	1614	https://v10-1.orthodb.org/?query=60at3699	Callose synthase 5
62at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G057040.1	3033.7	1824	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G043890.1	2999.8	1824	https://v10-1.orthodb.org/?query=62at3699	Separase
62at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G001700.1	3178.3	1822	https://v10-1.orthodb.org/?query=62at3699	Separase
71at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G027310.1	3879.0	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
71at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G062810.1	3875.0	1767	https://v10-1.orthodb.org/?query=71at3699	1,3-beta-glucan synthase subunit FKS1-like, domain-1
74at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012C5G036990.1	2831.0	1621	https://v10-1.orthodb.org/?query=74at3699	Kinesin motor domain
75at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G048690.1	3415.7	1706	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
75at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C8G030470.1	3432.1	1670	https://v10-1.orthodb.org/?query=75at3699	SNF2-related, N-terminal domain
78at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012C3G008420.1	3289.2	1582	https://v10-1.orthodb.org/?query=78at3699	ABC transporter A
79at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B7G047120.1	3242.1	1779	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
79at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G043280.1	3067.1	1770	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
79at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G046600.1	3146.0	1731	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
79at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G051860.1	2872.0	1683	https://v10-1.orthodb.org/?query=79at3699	Zinc finger, PHD-type
81at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G045900.1	3357.4	1579	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
81at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G015620.1	3328.9	1579	https://v10-1.orthodb.org/?query=81at3699	Dicer dimerisation domain
83at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G042840.1	3170.0	1672	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
83at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C6G011170.1	3040.3	1671	https://v10-1.orthodb.org/?query=83at3699	Bacterial Ig-like, group 2
84at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G017700.1	3345.5	1651	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
84at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G058140.1	3141.7	1550	https://v10-1.orthodb.org/?query=84at3699	Nucleoporin Nup186/Nup192/Nup205
90at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G042670.1	3263.4	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
90at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G034830.1	3245.1	1678	https://v10-1.orthodb.org/?query=90at3699	SNF2-related, N-terminal domain
91at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G054660.1	3067.6	1721	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
91at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G071270.1	2995.9	1663	https://v10-1.orthodb.org/?query=91at3699	Nucleoporin (DUF3414)
94at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G044590.1	2618.4	1700	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
94at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C8G026370.1	2522.7	1694	https://v10-1.orthodb.org/?query=94at3699	uncharacterized protein LOC103840946
96at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G027370.1	2988.3	1541	https://v10-1.orthodb.org/?query=96at3699	Tetratricopeptide repeat (TPR)-like superfamily protein
96at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G024450.1	2832.2	1520	https://v10-1.orthodb.org/?query=96at3699	Tetratricopeptide repeat (TPR)-like superfamily protein
97at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C6G029680.1	2809.2	1505	https://v10-1.orthodb.org/?query=97at3699	DNA-directed DNA polymerase, family B, exonuclease domain
97at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G020660.1	2715.3	1475	https://v10-1.orthodb.org/?query=97at3699	DNA-directed DNA polymerase, family B, exonuclease domain
98at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G007070.1	3024.0	1511	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
98at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G005680.1	3034.3	1510	https://v10-1.orthodb.org/?query=98at3699	RNA polymerase Rpb1, domain 3
102at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G036050.1	3092.7	1435	https://v10-1.orthodb.org/?query=102at3699	Zinc finger, RING-type
102at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G030160.1	3008.4	1435	https://v10-1.orthodb.org/?query=102at3699	Zinc finger, RING-type
103at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B7G015460.1	3268.6	1602	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
103at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G027750.1	2784.9	1469	https://v10-1.orthodb.org/?query=103at3699	Proteasome activator Blm10, mid region
107at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012C4G019550.1	3186.8	1535	https://v10-1.orthodb.org/?query=107at3699	Sec7, C-terminal
112at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012B5G061610.1	2863.6	1505	https://v10-1.orthodb.org/?query=112at3699	tRNA/rRNA methyltransferase, SpoU type
113at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012C8G053840.1	3218.7	1541	https://v10-1.orthodb.org/?query=113at3699	Sec7, C-terminal
115at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G028080.1	2961.2	1483	https://v10-1.orthodb.org/?query=115at3699	Protein SHOOT GRAVITROPISM 6
115at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G053360.1	2995.5	1480	https://v10-1.orthodb.org/?query=115at3699	Protein SHOOT GRAVITROPISM 6
119at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G026870.1	2716.4	1394	https://v10-1.orthodb.org/?query=119at3699	UDP-glucose:Glycoprotein Glucosyltransferase
119at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C6G036080.1	2736.0	1364	https://v10-1.orthodb.org/?query=119at3699	UDP-glucose:Glycoprotein Glucosyltransferase
121at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G046060.1	2958.4	1441	https://v10-1.orthodb.org/?query=121at3699	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
121at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C2G012670.1	2821.7	1440	https://v10-1.orthodb.org/?query=121at3699	Thiamine pyrophosphate enzyme, C-terminal TPP-binding
125at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G033970.1	2803.3	1539	https://v10-1.orthodb.org/?query=125at3699	Autophagy-related, C-terminal
125at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G028250.1	2787.3	1539	https://v10-1.orthodb.org/?query=125at3699	Autophagy-related, C-terminal
132at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012B3G054230.1	2568.4	1458	https://v10-1.orthodb.org/?query=132at3699	THO complex, subunitTHOC2, C-terminal
134at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C9G062770.1	3113.0	1562	https://v10-1.orthodb.org/?query=134at3699	Vacuolar protein sorting-associated protein 8, central domain
134at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G022220.1	3082.2	1561	https://v10-1.orthodb.org/?query=134at3699	Vacuolar protein sorting-associated protein 8, central domain
141at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G050150.1	3023.5	1595	https://v10-1.orthodb.org/?query=141at3699	Protein RST1
141at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G028730.1	3051.3	1594	https://v10-1.orthodb.org/?query=141at3699	Protein RST1
142at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G032770.1	2646.0	1582	https://v10-1.orthodb.org/?query=142at3699	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
142at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G043360.1	2609.5	1580	https://v10-1.orthodb.org/?query=142at3699	Nucleolar 27S pre-rRNA processing, Urb2/Npa2, C-terminal
143at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G041340.1	2801.6	1356	https://v10-1.orthodb.org/?query=143at3699	Mediator complex, subunit Med14
143at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G049730.1	2776.0	1347	https://v10-1.orthodb.org/?query=143at3699	Mediator complex, subunit Med14
145at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G028880.1	2614.1	1485	https://v10-1.orthodb.org/?query=145at3699	AAA ATPase, AAA+ lid domain
145at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B7G016620.1	2631.4	1484	https://v10-1.orthodb.org/?query=145at3699	AAA ATPase, AAA+ lid domain
148at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G015420.1	2832.7	1408	https://v10-1.orthodb.org/?query=148at3699	CLU central domain
148at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G025950.1	2837.2	1399	https://v10-1.orthodb.org/?query=148at3699	CLU central domain
155at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G048600.1	2681.4	1324	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G026660.1	2612.8	1313	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C6G035840.1	2561.3	1313	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
155at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C2G015860.1	2640.6	1308	https://v10-1.orthodb.org/?query=155at3699	Phosphatidylinositol-4-phosphate 5-kinase, core
164at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C9G046520.1	2782.5	1406	https://v10-1.orthodb.org/?query=164at3699	WD40 repeat
164at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G027460.1	2694.6	1365	https://v10-1.orthodb.org/?query=164at3699	WD40 repeat
169at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B7G011240.1	2321.4	1226	https://v10-1.orthodb.org/?query=169at3699	FAD dependent oxidoreductase
169at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C8G008750.1	2278.2	1226	https://v10-1.orthodb.org/?query=169at3699	FAD dependent oxidoreductase
172at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G044810.1	2731.1	1283	https://v10-1.orthodb.org/?query=172at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
172at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G000340.1	2724.8	1283	https://v10-1.orthodb.org/?query=172at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
172at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G011760.1	2462.8	1227	https://v10-1.orthodb.org/?query=172at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
173at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G031020.1	2875.4	1344	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G004150.1	2867.5	1344	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B7G041440.1	2678.5	1331	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
173at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G027590.1	2920.6	1277	https://v10-1.orthodb.org/?query=173at3699	ABC transporter type 1, transmembrane domain
177at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G025600.1	2680.4	1326	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
177at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C1G022330.1	2484.1	1262	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
177at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C7G050860.1	2325.9	1229	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
177at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G068020.1	2311.1	1185	https://v10-1.orthodb.org/?query=177at3699	Myosin head, motor domain
178at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G063160.1	3219.3	1637	https://v10-1.orthodb.org/?query=178at3699	HECT domain
178at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G051640.1	3207.4	1637	https://v10-1.orthodb.org/?query=178at3699	HECT domain
179at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B3G030080.1	2639.2	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C6G025170.1	2629.4	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B6G031990.1	2626.2	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
179at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C6G039050.1	2619.8	1208	https://v10-1.orthodb.org/?query=179at3699	PurM-like, C-terminal domain
182at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G036210.1	2718.5	1239	https://v10-1.orthodb.org/?query=182at3699	Magnesium-chelatase subunit ChlH, chloroplastic
182at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G030340.1	2713.5	1239	https://v10-1.orthodb.org/?query=182at3699	Magnesium-chelatase subunit ChlH, chloroplastic
185at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012B6G025410.1	2661.9	1274	https://v10-1.orthodb.org/?query=185at3699	ABC-2 type transporter
190at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G040350.1	2652.8	1263	https://v10-1.orthodb.org/?query=190at3699	Cleavage and polyadenylation specificity factor subunit 1
190at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C2G007200.1	2587.0	1263	https://v10-1.orthodb.org/?query=190at3699	Cleavage and polyadenylation specificity factor subunit 1
192at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B5G019370.1	2418.6	1205	https://v10-1.orthodb.org/?query=192at3699	DNA-directed RNA polymerase subunit
192at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C2G059190.1	2364.6	1174	https://v10-1.orthodb.org/?query=192at3699	DNA-directed RNA polymerase subunit
196at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C9G011190.1	2443.7	1419	https://v10-1.orthodb.org/?query=196at3699	GYF domain
196at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B4G051310.1	2387.3	1407	https://v10-1.orthodb.org/?query=196at3699	GYF domain
213at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G017270.1	2221.3	1342	https://v10-1.orthodb.org/?query=213at3699	Putative zinc-finger domain
213at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G055250.1	2124.6	1310	https://v10-1.orthodb.org/?query=213at3699	Putative zinc-finger domain
214at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G082180.1	2158.8	1346	https://v10-1.orthodb.org/?query=214at3699	Protein SHORTAGE IN CHIASMATA 1
214at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G059610.1	2127.6	1346	https://v10-1.orthodb.org/?query=214at3699	Protein SHORTAGE IN CHIASMATA 1
217at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B4G005040.1	2451.9	1270	https://v10-1.orthodb.org/?query=217at3699	Zinc finger, C5HC2-type
217at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C9G001640.1	2457.8	1269	https://v10-1.orthodb.org/?query=217at3699	Zinc finger, C5HC2-type
223at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G035660.1	2729.5	1280	https://v10-1.orthodb.org/?query=223at3699	Pentatricopeptide repeat
223at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G030780.1	2720.6	1279	https://v10-1.orthodb.org/?query=223at3699	Pentatricopeptide repeat
224at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C3G043040.1	127.9	52	https://v10-1.orthodb.org/?query=224at3699	Cytoplasmic FMR1-interacting
224at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G035040.1	127.5	52	https://v10-1.orthodb.org/?query=224at3699	Cytoplasmic FMR1-interacting
226at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C9G034930.1	2589.5	1246	https://v10-1.orthodb.org/?query=226at3699	Protein TORNADO 1
226at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G018740.1	2453.3	1222	https://v10-1.orthodb.org/?query=226at3699	Protein TORNADO 1
227at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B1G042430.1	2062.0	1132	https://v10-1.orthodb.org/?query=227at3699	Dicer dimerisation domain
227at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G050960.1	1958.1	1107	https://v10-1.orthodb.org/?query=227at3699	Dicer dimerisation domain
227at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G049900.1	1933.6	1097	https://v10-1.orthodb.org/?query=227at3699	Dicer dimerisation domain
227at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C5G050980.1	1754.8	1048	https://v10-1.orthodb.org/?query=227at3699	Dicer dimerisation domain
235at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B2G041060.1	2414.3	1267	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
235at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G016790.1	2350.2	1267	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
235at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C9G001230.1	2269.1	1266	https://v10-1.orthodb.org/?query=235at3699	RNA polymerase Rpb1, domain 3
236at3699	Complete	rna-gnl_WGS_JASCRO_Bca4012B1G029080.1	2533.2	1230	https://v10-1.orthodb.org/?query=236at3699	ATP-binding cassette transporter, PDR-like subfamily G, domain 1
238at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012B8G054060.1	2499.4	1224	https://v10-1.orthodb.org/?query=238at3699	ABC transporter type 1, transmembrane domain
238at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C8G035200.1	2413.5	1218	https://v10-1.orthodb.org/?query=238at3699	ABC transporter type 1, transmembrane domain
245at3699	Duplicated	rna-gnl_WGS_JASCRO_Bca4012C4G020540.1	2288.6	1356	https://v10-1.orthodb.org/?query=245at3699	Eukaryotic translation initiation factor 4G
