	27622715	Bnigra_C2	Bnigra_NI100	BoleraceaHDEM	GCA_000751015	GCA_003260655	GCA_003260675	GCA_003434825	GCA_016771965	GCA_017639395	GCA_038677285	GCA_040550855	GCA_040584065	GCA_900412535	GCA_905183035	GCF_000309985	GCF_000695525	GCF_020379485	GWHAASO00000000	GWHAAZX00000000	GWHBJSH00000000	GWHBKKZ00000000	GWHBKLA00000000	GWHCAYN00000000	GWHDTWV00000000	GWHDTWX00000000	GWHDTYA00000000	GWHDTYD00000000	GWHDTYE00000000	GWHDTYG00000000	GWHDTYH00000000	GWHDTYJ00000000	GWHDTYK00000000	GWHDTYL00000000	GWHDTYM00000000	GWHDTZU00000000	GWHDTZV00000000	GWHDUBH00000000	GWHDUBI00000000	GWHDUBJ00000000	GWHDUBL00000000	GWHDUBM00000000	GWHDUBP00000000	GWHDUBR00000000	GWHDUBS00000000	GWHDUBT00000000	GWHEQVE00000000	GWHEQVJ00000000	GWHEQVL00000000	GWHEQVM00000000	GWHEQVN00000000	GWHEQVO00000000	GWHERGL00000000	GWHERGM00000000	GWHFIKA00000000	GWHFQTP00000000	OX	From file:
N95 sequence length:	49705675	79810	55075547	46538988	4918	27103516	24239938	31341	387596	428195	29331849	48668886	47263926	488020	3218146	43136	28443	44460	47844321	20348	48937047	47282770	48243757	28299038	53276452	49710501	48506227	51273101	50652487	47033360	47723292	2592786	2545445	51933395	46904723	2992838	51634866	47285378	50417254	51503661	52469740	49338164	53189597	48889433	49547750	48237103	52528554	53426602	53632606	53560184	58360037	53466802	28346059	26834951	33838550	98957	47389284	genome_contents_raw.tsv
Number of sequences:	10	943	58	115	4389	21	19	309	1181	180	19	451	265	210	237	1086	602	2975	504	2198	10	10	191	515	20	23	15	21	15	18	13	166	213	30	138	233	29	11	24	15	24	26	62	13	72	147	10	10	11	10	10	11	12	12	18	1390	401	genome_contents_filtered.tsv
Total sequence length:	552847295	536495148	506000232	554895121	792606711	323451286	281344721	302427827	1083580326	346046231	1004949250	1072718863	1070334916	443953949	923795763	352890373	470365011	1000860529	560411453	380438573	568515523	534464702	553270725	961721477	578707754	558945262	549019952	565573607	552221523	539874930	562159924	565466213	558040019	572041810	547890678	568244315	570744922	551974015	580974251	576023240	573421876	553363182	584163424	542384396	534419652	557259481	606364932	593560721	634424806	588360242	610908045	619573171	442090047	430528955	981817153	980445964	564455087	genome_contents_filtered.tsv
Average sequence length:	55284729.5	568923.8048780488	8724141.931034483	4825174.965217391	180589.36226930964	15402442.19047619	14807616.894736841	978730.8317152103	917510.8602878916	1922479.0611111112	52892065.78947368	2378534.0643015523	4038999.683018868	2114066.4238095237	3897872.417721519	324945.0948434622	781337.2275747508	336423.7072268908	1111927.486111111	173083.97315741584	56851552.3	53446470.2	2896705.3664921466	1867420.3436893204	28935387.7	24301967.913043477	36601330.13333333	26932076.523809522	36814768.2	29993051.666666668	43243071.07692308	3406422.9698795183	2619906.192488263	19068060.333333332	3970222.304347826	2438816.802575107	19680859.379310343	50179455.90909091	24207260.458333332	38401549.333333336	23892578.166666668	21283199.307692308	9421990.709677419	41721876.615384616	7422495.166666667	3790880.8231292516	60636493.2	59356072.1	57674982.36363637	58836024.2	61090804.5	56324833.72727273	36840837.25	35877412.916666664	54545397.38888889	705356.8086330935	1407618.6708229426	genome_contents_filtered.tsv
Std. dev. sequence length:	18530930.917005267	5510088.602953174	21386359.175998777	15885999.044083225	389444.0619175538	18154051.580736894	16086056.885058923	5157661.448579148	7187956.96436639	7808406.880027665	15110677.374125866	11718414.485015294	14936129.89159037	8794059.21239133	13053974.482446326	2908591.3103850307	6088315.378898983	3649982.045679978	8012829.169083255	2094103.4128814598	17658173.751603615	16389952.5676607	12946595.392644238	9876865.05108862	31940587.106796462	30517057.216655053	30392579.292503394	30994182.737565953	30622118.18724842	30416112.791649017	29612688.436186288	13504068.206321616	11847533.569136366	29123191.931508083	14504815.632292887	11542026.587217666	29419977.151023053	24885540.310075235	30920022.384467907	31433573.793026358	30572313.55059575	29426138.893225018	22546237.513997354	28649683.719901986	19479825.758852266	14266451.592763225	21284146.397147413	20896916.812368378	25728167.075552303	20979594.90060115	21448191.357597455	27199848.330193143	19819287.922924545	19490911.431367148	14741507.093923694	6057705.698876325	8959271.80121419	genome_contents_filtered.tsv
Minimum sequence length:	5291835	10159	12560	11322	10009	10304	10412	10010	10000	10536	26714908	10218	10167	30348	60731	10311	10018	10070	10018	10000	11402142	10276068	11398	18248	63020	78690	18914	124329	13465	50469	40000	15341	12361	55456	10887	11506	53867	108313	24882	90647	105594	27501	15087	54855	17951	14123	978592	200667	519546	72864	97716	22959	153483	153483	32503768	10082	10118	genome_contents_filtered.tsv
Maximum sequence length:	78655145	71072303	70847972	73711317	5197798	46022850	44274581	44888295	72379882	60281870	79204285	75391900	74943771	68194707	73669886	45156810	64984695	74222928	74510869	45122937	79842669	75319530	80127416	73231756	78384346	77635746	77492250	76500131	77035298	76029668	76376741	73659243	74029832	76876776	73465279	73980201	80411662	79110931	81748926	78617262	77479428	78331576	78219189	78011895	74621860	72895319	79032171	78880522	86880579	80057606	81976334	80790341	69317251	67734757	78361214	73462801	76131090	genome_contents_filtered.tsv
Median sequence length:	58359348.5	40744.0	92177.5	91072.0	41316.0	16087.0	14574.0	23503.0	24002.0	75739.5	56258522.0	57782.0	108543.0	111065.5	121592.0	40543.0	25140.0	39531.0	26576.0	23567.5	57842930.0	55586755.5	46247.0	42308.0	1176034.5	273817.0	51759660.0	1082794.0	52459267.0	23727535.5	57683825.0	63395.0	55831.0	192672.5	66776.5	58565.0	279598.0	57628984.0	783344.5	56592305.0	803149.5	222352.5	114513.5	53333409.0	114545.0	65658.0	65207764.0	65046222.0	60944144.0	62815079.0	66806586.5	66554978.0	38032731.0	37608502.5	58174937.5	34182.5	21522.0	genome_contents_filtered.tsv
N50 sequence index:	5	5	4	5	285	4	4	5	9	5	8	8	8	5	8	6	5	9	5	6	4	5	4	8	5	5	5	5	4	4	5	5	5	5	5	5	4	4	4	5	5	4	5	4	5	5	5	5	5	5	5	5	4	4	8	8	5	genome_contents_filtered.tsv
N50 sequence length:	59208503	57774146	60819636	58257932	760399	36203547	31308560	28488603	58891064	32457817	59365250	64149603	62375533	39217719	50218839	28928902	48366697	48209797	57884551	28953783	65683070	56094947	64638171	58490459	62195753	62057483	60302895	61947873	65135299	63746061	62787088	56636074	55506693	61412808	57349439	56691393	66866305	62825707	68709032	60668869	59500280	65433663	60472951	64059823	56484001	57000890	65326007	65839909	72197880	64701984	69094299	69078074	46671336	47034915	60255896	59279667	59441974	genome_contents_filtered.tsv
N95 sequence index:	9	208	8	9	2414	9	9	15	30	15	18	17	17	26	22	494	9	1262	9	1044	9	9	9	18	9	9	9	9	9	9	9	11	11	9	9	11	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	17	73	9	genome_contents_filtered.tsv
N95 sequence length:	49705675	80104	55075547	46538988	36182	27103516	24239938	695051	482879	468927	29331849	48668886	47263926	488020	3218146	43302	39822476	44950	47844321	24615	48937047	47282770	48243757	28299038	53276452	49710501	48506227	51273101	50652487	47033360	47723292	2592786	2545445	51933395	46904723	2992838	51634866	47285378	50417254	51503661	52469740	49338164	53189597	48889433	49547750	48237103	52528554	53426602	53632606	53560184	58360037	53466802	28346059	26834951	33838550	98957	47389284	genome_contents_filtered.tsv
gene	60640.0	67021.0	59852.0	0.0	61153.0	63131.0	62722.0	40454.0	97148.0	43129.0	124769.0	103752.0	102229.0	52701.0	108170.0	49720.0	49563.0	113918.0	59064.0	45998.0	57983.0	53879.0	59398.0	86342.0	53334.0	52455.0	52966.0	51826.0	52324.0	52557.0	53403.0	51048.0	50938.0	52658.0	50754.0	51551.0	52876.0	53409.0	52606.0	52057.0	52705.0	53089.0	54905.0	52715.0	51515.0	50343.0	52928.0	53192.0	51831.0	52913.0	52206.0	52059.0	49308.0	49243.0	84662.0	95221.0	62232.0	annotation_contents_raw.tsv
mRNA	70412.0	67021.0	59852.0	61279.0	61153.0	63131.0	62722.0	43332.0	97148.0	43129.0	124769.0	103768.0	102249.0	52701.0	108170.0	60607.0	56685.0	120347.0	59064.0	45998.0	97195.0	53879.0	59398.0	86342.0	53334.0	52455.0	52966.0	51826.0	52324.0	52557.0	53403.0	51048.0	50938.0	52658.0	50754.0	51551.0	52876.0	53409.0	52606.0	52057.0	52705.0	53089.0	54905.0	52715.0	51515.0	50343.0	52928.0	53192.0	51831.0	52913.0	52206.0	52059.0	49308.0	49243.0	84662.0	95221.0	68277.0	annotation_contents_raw.tsv
exon	348083.0	291943.0	259702.0	0.0	61153.0	251235.0	240988.0	227891.0	447232.0	246855.0	566605.0	474315.0	474219.0	52701.0	108170.0	436796.0	398922.0	868003.0	0.0	0.0	624778.0	251089.0	287794.0	442307.0	260188.0	258296.0	257090.0	253333.0	255847.0	255220.0	260654.0	243720.0	243822.0	259490.0	242478.0	245512.0	257750.0	258585.0	256657.0	254261.0	258499.0	259281.0	267874.0	257751.0	252095.0	239606.0	233315.0	237399.0	236608.0	235576.0	237146.0	231684.0	237121.0	238476.0	422190.0	486325.0	320928.0	annotation_contents_raw.tsv
CDS	333333.0	291943.0	259702.0	263525.0	293138.0	250612.0	240171.0	218393.0	447232.0	246855.0	547219.0	474315.0	474219.0	239707.0	491888.0	341405.0	305897.0	649284.0	293551.0	242819.0	547552.0	251089.0	282490.0	428440.0	260188.0	258296.0	257090.0	253333.0	255847.0	255220.0	260654.0	243720.0	243822.0	259490.0	242478.0	245512.0	257750.0	258585.0	256657.0	254261.0	258499.0	259281.0	267874.0	257751.0	252095.0	239606.0	233315.0	237399.0	236608.0	235576.0	237146.0	231684.0	237121.0	238476.0	413512.0	478757.0	309886.0	annotation_contents_raw.tsv
five_prime_UTR	47018.0	0.0	0.0	0.0	26863.0	0.0	0.0	0.0	0.0	23476.0	0.0	0.0	0.0	7599.0	52678.0	0.0	0.0	0.0	0.0	0.0	108127.0	0.0	0.0	59926.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34511.0	32579.0	38262.0	annotation_contents_raw.tsv
three_prime_UTR	41655.0	0.0	0.0	0.0	26618.0	0.0	0.0	0.0	0.0	24195.0	0.0	0.0	0.0	7922.0	52853.0	0.0	0.0	0.0	0.0	0.0	97427.0	0.0	0.0	54927.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34936.0	33057.0	33465.0	annotation_contents_raw.tsv
region	0.0	0.0	0.0	0.0	20899.0	2934.0	2464.0	5645.0	1636.0	295.0	19.0	519.0	268.0	210.0	237.0	1100.0	32886.0	3167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
pseudogene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	20.0	0.0	0.0	1869.0	4495.0	9304.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
lnc_RNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7065.0	7942.0	15729.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
snoRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1156.0	0.0	3581.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
tRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1100.0	995.0	2600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2995.0	2089.0	5486.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
snRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.0	0.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
rRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1382.0	3.0	7275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
primary_transcript	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
miRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
cDNA_match	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3594.0	5906.0	5947.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
inverted_repeat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
direct_repeat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
sequence_feature	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
repeat_region	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	annotation_contents_raw.tsv
gene	60250.0	65439.0	58814.0	59254.0	102856.0	63131.0	62722.0	39696.0	96708.0	65876.0	124769.0	103715.0	102226.0	93768.0	202405.0	49761.0	48584.0	113773.0	59060.0	45960.0	57983.0	53879.0	59398.0	86338.0	53330.0	52455.0	52963.0	51824.0	52323.0	52557.0	53402.0	51047.0	50938.0	52658.0	50754.0	51551.0	52874.0	53408.0	52606.0	52055.0	52704.0	53089.0	54905.0	52713.0	51515.0	50342.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	49083.0	49108.0	84648.0	95205.0	61869.0	annotation_contents_filtered.tsv
mRNA	60250.0	65439.0	58814.0	59254.0	99955.0	63131.0	62722.0	39696.0	96708.0	43070.0	124769.0	103731.0	102246.0	91290.0	188817.0	41359.0	43679.0	90785.0	59060.0	45960.0	57983.0	53879.0	59398.0	86338.0	53330.0	52455.0	52963.0	51824.0	52323.0	52557.0	53402.0	51047.0	50938.0	52658.0	50754.0	51551.0	52874.0	53408.0	52606.0	52055.0	52704.0	53089.0	54905.0	52713.0	51515.0	50342.0	52872.0	53133.0	51763.0	52848.0	52139.0	52059.0	49083.0	49108.0	84648.0	95205.0	61869.0	annotation_contents_filtered.tsv
exon	271677.0	289983.0	258252.0	260584.0	326261.0	251235.0	240988.0	204126.0	445096.0	294336.0	566605.0	474211.0	474211.0	284220.0	608360.0	253941.0	267841.0	560750.0	293273.0	242640.0	295849.0	251089.0	287794.0	442292.0	260180.0	258296.0	257084.0	253328.0	255845.0	255220.0	260652.0	243718.0	243822.0	259490.0	242478.0	245512.0	257746.0	258583.0	256657.0	254257.0	258497.0	259281.0	267874.0	257747.0	252095.0	239604.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	236859.0	238268.0	422146.0	486289.0	274992.0	annotation_contents_filtered.tsv
CDS	264028.0	289983.0	258252.0	260584.0	271437.0	250612.0	240171.0	196733.0	445096.0	246668.0	547219.0	474211.0	474211.0	237681.0	488332.0	208245.0	215322.0	439847.0	293273.0	242640.0	270667.0	251089.0	282490.0	428431.0	260180.0	258296.0	257084.0	253328.0	255845.0	255220.0	260652.0	243718.0	243822.0	259490.0	242478.0	245512.0	257746.0	258583.0	256657.0	254257.0	258497.0	259281.0	267874.0	257747.0	252095.0	239604.0	233251.0	237328.0	236529.0	235496.0	237065.0	231684.0	236859.0	238268.0	413484.0	478728.0	267988.0	annotation_contents_filtered.tsv
five_prime_UTR	31968.0	0.0	0.0	0.0	26831.0	637.0	741.0	31758.0	0.0	23473.0	61891.0	0.0	0.0	8879.0	61024.0	45963.0	41821.0	92575.0	0.0	1409.0	44596.0	0.0	23571.0	60196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34821.0	32687.0	29010.0	annotation_contents_filtered.tsv
