GWHERGM00000000.filtered.pep.faa
	C:89.9%[S:81.3%,D:8.5%],F:1.3%,M:8.9%,n:4596	   
GWHDTWX00000000.filtered.pep.faa
	4064	Complete and single-copy BUSCOs (S)	   
	442	Complete and duplicated BUSCOs (D)	   
	19	Fragmented BUSCOs (F)			   
	71	Missing BUSCOs (M)			   
	C:98.0%[S:88.4%,D:9.6%],F:0.4%,M:1.5%,n:4596	   
GWHDTWV00000000.filtered.pep.faa
	4017	Complete and single-copy BUSCOs (S)	   
	445	Complete and duplicated BUSCOs (D)	   
	35	Fragmented BUSCOs (F)			   
	99	Missing BUSCOs (M)			   
	C:97.1%[S:87.4%,D:9.7%],F:0.8%,M:2.2%,n:4596	   
BoleraceaHDEM_annotation.filtered.pep.faa
	3993	Complete and single-copy BUSCOs (S)	   
	429	Complete and duplicated BUSCOs (D)	   
	28	Fragmented BUSCOs (F)			   
	146	Missing BUSCOs (M)			   
	C:96.2%[S:86.9%,D:9.3%],F:0.6%,M:3.2%,n:4596	   
GCA_003260675.2_B_cretica_D_v2_genomic.filtered.pep.faa
	2438	Complete and single-copy BUSCOs (S)	   
	221	Complete and duplicated BUSCOs (D)	   
	300	Fragmented BUSCOs (F)			   
	1637	Missing BUSCOs (M)			   
	C:57.9%[S:53.0%,D:4.8%],F:6.5%,M:35.6%,n:4596	   
GCA_040584065.1_ASM4058406v1_genomic.filtered.pep.faa
	522	Complete and single-copy BUSCOs (S)	   
	4022	Complete and duplicated BUSCOs (D)	   
	8	Fragmented BUSCOs (F)			   
	44	Missing BUSCOs (M)			   
	C:98.9%[S:11.4%,D:87.5%],F:0.2%,M:1.0%,n:4596	   
GCA_016771965.1_ASM1677196v1_genomic.filtered.pep.faa
	1152	Complete and single-copy BUSCOs (S)	   
	3052	Complete and duplicated BUSCOs (D)	   
	58	Fragmented BUSCOs (F)			   
	334	Missing BUSCOs (M)			   
	C:91.5%[S:25.1%,D:66.4%],F:1.3%,M:7.3%,n:4596	   
GWHCAYN00000000.filtered.pep.faa
	331	Complete and single-copy BUSCOs (S)	   
	4214	Complete and duplicated BUSCOs (D)	   
	4	Fragmented BUSCOs (F)			   
	47	Missing BUSCOs (M)			   
	C:98.9%[S:7.2%,D:91.7%],F:0.1%,M:1.0%,n:4596	   
GWHBKLA00000000.filtered.pep.faa
	4067	Complete and single-copy BUSCOs (S)	   
	454	Complete and duplicated BUSCOs (D)	   
	12	Fragmented BUSCOs (F)			   
	63	Missing BUSCOs (M)			   
	C:98.4%[S:88.5%,D:9.9%],F:0.3%,M:1.4%,n:4596	   
GWHDTYL00000000.filtered.pep.faa
	4035	Complete and single-copy BUSCOs (S)	   
	438	Complete and duplicated BUSCOs (D)	   
	21	Fragmented BUSCOs (F)			   
	102	Missing BUSCOs (M)			   
	C:97.3%[S:87.8%,D:9.5%],F:0.5%,M:2.2%,n:4596	   
GCA_003260655.2_B_cretica_A_v2_genomic.filtered.pep.faa
	3010	Complete and single-copy BUSCOs (S)	   
	280	Complete and duplicated BUSCOs (D)	   
	225	Fragmented BUSCOs (F)			   
	1081	Missing BUSCOs (M)			   
	C:71.6%[S:65.5%,D:6.1%],F:4.9%,M:23.5%,n:4596	   
GWHDTZU00000000.filtered.pep.faa
	3985	Complete and single-copy BUSCOs (S)	   
	458	Complete and duplicated BUSCOs (D)	   
	20	Fragmented BUSCOs (F)			   
	133	Missing BUSCOs (M)			   
	C:96.7%[S:86.7%,D:10.0%],F:0.4%,M:2.9%,n:4596	   
GCA_003434825.1_Brassica_rapa_FPsc_v1.3_genomic.filtered.pep.faa
	4164	Complete and single-copy BUSCOs (S)	   
	319	Complete and duplicated BUSCOs (D)	   
	27	Fragmented BUSCOs (F)			   
	86	Missing BUSCOs (M)			   
	C:97.5%[S:90.6%,D:6.9%],F:0.6%,M:1.9%,n:4596	   
GWHDUBJ00000000.filtered.pep.faa
	4015	Complete and single-copy BUSCOs (S)	   
	455	Complete and duplicated BUSCOs (D)	   
	33	Fragmented BUSCOs (F)			   
	93	Missing BUSCOs (M)			   
	C:97.3%[S:87.4%,D:9.9%],F:0.7%,M:2.0%,n:4596	   
GCA_000751015.1_AST_PRJEB5043_v1_genomic.filtered.pep.faa
	2049	Complete and single-copy BUSCOs (S)	   
	1507	Complete and duplicated BUSCOs (D)	   
	49	Fragmented BUSCOs (F)			   
	991	Missing BUSCOs (M)			   
	C:77.4%[S:44.6%,D:32.8%],F:1.1%,M:21.6%,n:4596	   
GWHEQVE00000000.filtered.pep.faa
	4104	Complete and single-copy BUSCOs (S)	   
	411	Complete and duplicated BUSCOs (D)	   
	27	Fragmented BUSCOs (F)			   
	54	Missing BUSCOs (M)			   
	C:98.2%[S:89.3%,D:8.9%],F:0.6%,M:1.2%,n:4596	   
GWHDTZV00000000.filtered.pep.faa
	3970	Complete and single-copy BUSCOs (S)	   
	433	Complete and duplicated BUSCOs (D)	   
	32	Fragmented BUSCOs (F)			   
	161	Missing BUSCOs (M)			   
	C:95.8%[S:86.4%,D:9.4%],F:0.7%,M:3.5%,n:4596	   
GCA_905183035.1_bnapus_darmor_bzh_v10_genomic.filtered.pep.faa
	320	Complete and single-copy BUSCOs (S)	   
	4209	Complete and duplicated BUSCOs (D)	   
	5	Fragmented BUSCOs (F)			   
	62	Missing BUSCOs (M)			   
	C:98.5%[S:7.0%,D:91.6%],F:0.1%,M:1.3%,n:4596	   
GWHDTYK00000000.filtered.pep.faa
	4036	Complete and single-copy BUSCOs (S)	   
	445	Complete and duplicated BUSCOs (D)	   
	21	Fragmented BUSCOs (F)			   
	94	Missing BUSCOs (M)			   
	C:97.5%[S:87.8%,D:9.7%],F:0.5%,M:2.0%,n:4596	   
GCA_040550855.1_C4012_genomic.filtered.pep.faa
	573	Complete and single-copy BUSCOs (S)	   
	3962	Complete and duplicated BUSCOs (D)	   
	7	Fragmented BUSCOs (F)			   
	54	Missing BUSCOs (M)			   
	C:98.7%[S:12.5%,D:86.2%],F:0.2%,M:1.2%,n:4596	   
GWHAAZX00000000.filtered.pep.faa
	3926	Complete and single-copy BUSCOs (S)	   
	477	Complete and duplicated BUSCOs (D)	   
	47	Fragmented BUSCOs (F)			   
	146	Missing BUSCOs (M)			   
	C:95.8%[S:85.4%,D:10.4%],F:1.0%,M:3.2%,n:4596	   
GCF_020379485.1_Da-Ae_genomic.filtered.pep.faa
	189	Complete and single-copy BUSCOs (S)	   
	4394	Complete and duplicated BUSCOs (D)	   
	1	Fragmented BUSCOs (F)			   
	12	Missing BUSCOs (M)			   
	C:99.7%[S:4.1%,D:95.6%],F:0.0%,M:0.3%,n:4596	   
GWHDUBM00000000.filtered.pep.faa
	4050	Complete and single-copy BUSCOs (S)	   
	427	Complete and duplicated BUSCOs (D)	   
	16	Fragmented BUSCOs (F)			   
	103	Missing BUSCOs (M)			   
	C:97.4%[S:88.1%,D:9.3%],F:0.3%,M:2.2%,n:4596	   
GWHBKKZ00000000.filtered.pep.faa
	4000	Complete and single-copy BUSCOs (S)	   
	436	Complete and duplicated BUSCOs (D)	   
	13	Fragmented BUSCOs (F)			   
	147	Missing BUSCOs (M)			   
	C:96.5%[S:87.0%,D:9.5%],F:0.3%,M:3.2%,n:4596	   
GWHDTYD00000000.filtered.pep.faa
	3975	Complete and single-copy BUSCOs (S)	   
	439	Complete and duplicated BUSCOs (D)	   
	42	Fragmented BUSCOs (F)			   
	140	Missing BUSCOs (M)			   
	C:96.0%[S:86.5%,D:9.6%],F:0.9%,M:3.0%,n:4596	   
GCA_017639395.1_SCU_BraROA_2.3_genomic.filtered.pep.faa
	3609	Complete and single-copy BUSCOs (S)	   
	372	Complete and duplicated BUSCOs (D)	   
	62	Fragmented BUSCOs (F)			   
	553	Missing BUSCOs (M)			   
	C:86.6%[S:78.5%,D:8.1%],F:1.3%,M:12.0%,n:4596	   
GWHEQVJ00000000.filtered.pep.faa
	4090	Complete and single-copy BUSCOs (S)	   
	429	Complete and duplicated BUSCOs (D)	   
	30	Fragmented BUSCOs (F)			   
	47	Missing BUSCOs (M)			   
	C:98.3%[S:89.0%,D:9.3%],F:0.7%,M:1.0%,n:4596	   
GWHERGL00000000.filtered.pep.faa
	4136	Complete and single-copy BUSCOs (S)	   
	394	Complete and duplicated BUSCOs (D)	   
	22	Fragmented BUSCOs (F)			   
	44	Missing BUSCOs (M)			   
	C:98.6%[S:90.0%,D:8.6%],F:0.5%,M:1.0%,n:4596	   
Bnigra_C2.v1.genes.filtered.pep.faa
	3503	Complete and single-copy BUSCOs (S)	   
	711	Complete and duplicated BUSCOs (D)	   
	127	Fragmented BUSCOs (F)			   
	255	Missing BUSCOs (M)			   
	C:91.7%[S:76.2%,D:15.5%],F:2.8%,M:5.5%,n:4596	   
GWHDTYH00000000.filtered.pep.faa
	3873	Complete and single-copy BUSCOs (S)	   
	558	Complete and duplicated BUSCOs (D)	   
	21	Fragmented BUSCOs (F)			   
	144	Missing BUSCOs (M)			   
	C:96.4%[S:84.3%,D:12.1%],F:0.5%,M:3.1%,n:4596	   
GWHEQVO00000000.filtered.pep.faa
	4093	Complete and single-copy BUSCOs (S)	   
	417	Complete and duplicated BUSCOs (D)	   
	22	Fragmented BUSCOs (F)			   
	64	Missing BUSCOs (M)			   
	C:98.1%[S:89.1%,D:9.1%],F:0.5%,M:1.4%,n:4596	   
GWHDTYJ00000000.filtered.pep.faa
	4024	Complete and single-copy BUSCOs (S)	   
	450	Complete and duplicated BUSCOs (D)	   
	25	Fragmented BUSCOs (F)			   
	97	Missing BUSCOs (M)			   
	C:97.3%[S:87.6%,D:9.8%],F:0.5%,M:2.1%,n:4596	   
GWHDUBT00000000.filtered.pep.faa
	3999	Complete and single-copy BUSCOs (S)	   
	438	Complete and duplicated BUSCOs (D)	   
	36	Fragmented BUSCOs (F)			   
	123	Missing BUSCOs (M)			   
	C:96.5%[S:87.0%,D:9.5%],F:0.8%,M:2.7%,n:4596	   
27622715.filtered.pep.faa
	3972	Complete and single-copy BUSCOs (S)	   
	420	Complete and duplicated BUSCOs (D)	   
	32	Fragmented BUSCOs (F)			   
	172	Missing BUSCOs (M)			   
	C:95.6%[S:86.4%,D:9.1%],F:0.7%,M:3.7%,n:4596	   
GCA_038677285.1_ASM3867728v1_genomic.filtered.pep.faa
	524	Complete and single-copy BUSCOs (S)	   
	4011	Complete and duplicated BUSCOs (D)	   
	7	Fragmented BUSCOs (F)			   
	54	Missing BUSCOs (M)			   
	C:98.7%[S:11.4%,D:87.3%],F:0.2%,M:1.2%,n:4596	   
Bnigra_NI100.v2.genes.filtered.pep.faa	3961	Complete and single-copy BUSCOs (S)	   
	500	Complete and duplicated BUSCOs (D)	   
	36	Fragmented BUSCOs (F)			   
	99	Missing BUSCOs (M)			   
	C:97.1%[S:86.2%,D:10.9%],F:0.8%,M:2.2%,n:4596	   
GWHFQTP00000000.1.filtered.pep.faa
	1047	Complete and single-copy BUSCOs (S)	   
	3513	Complete and duplicated BUSCOs (D)	   
	17	Fragmented BUSCOs (F)			   
	19	Missing BUSCOs (M)			   
	C:99.2%[S:22.8%,D:76.4%],F:0.4%,M:0.4%,n:4596	   
GWHDTYA00000000.filtered.pep.faa
	4007	Complete and single-copy BUSCOs (S)	   
	445	Complete and duplicated BUSCOs (D)	   
	21	Fragmented BUSCOs (F)			   
	123	Missing BUSCOs (M)			   
	C:96.9%[S:87.2%,D:9.7%],F:0.5%,M:2.7%,n:4596	   
GWHDTYG00000000.filtered.pep.faa
	3969	Complete and single-copy BUSCOs (S)	   
	460	Complete and duplicated BUSCOs (D)	   
	35	Fragmented BUSCOs (F)			   
	132	Missing BUSCOs (M)			   
	C:96.4%[S:86.4%,D:10.0%],F:0.8%,M:2.9%,n:4596	   
GWHDUBP00000000.filtered.pep.faa
	3754	Complete and single-copy BUSCOs (S)	   
	566	Complete and duplicated BUSCOs (D)	   
	41	Fragmented BUSCOs (F)			   
	235	Missing BUSCOs (M)			   
	C:94.0%[S:81.7%,D:12.3%],F:0.9%,M:5.1%,n:4596	   
GWHDTYE00000000.filtered.pep.faa
	4014	Complete and single-copy BUSCOs (S)	   
	456	Complete and duplicated BUSCOs (D)	   
	22	Fragmented BUSCOs (F)			   
	104	Missing BUSCOs (M)			   
	C:97.3%[S:87.3%,D:9.9%],F:0.5%,M:2.3%,n:4596	   
GCA_900412535.3_brapa_z1_v2_genomic.filtered.pep.faa
	4093	Complete and single-copy BUSCOs (S)	   
	368	Complete and duplicated BUSCOs (D)	   
	23	Fragmented BUSCOs (F)			   
	112	Missing BUSCOs (M)			   
	C:97.1%[S:89.1%,D:8.0%],F:0.5%,M:2.4%,n:4596	   
GWHDTYM00000000.filtered.pep.faa
	4015	Complete and single-copy BUSCOs (S)	   
	439	Complete and duplicated BUSCOs (D)	   
	26	Fragmented BUSCOs (F)			   
	116	Missing BUSCOs (M)			   
	C:96.9%[S:87.4%,D:9.6%],F:0.6%,M:2.5%,n:4596	   
GWHDUBS00000000.filtered.pep.faa
	4020	Complete and single-copy BUSCOs (S)	   
	450	Complete and duplicated BUSCOs (D)	   
	26	Fragmented BUSCOs (F)			   
	100	Missing BUSCOs (M)			   
	C:97.3%[S:87.5%,D:9.8%],F:0.6%,M:2.2%,n:4596	   
GWHDUBL00000000.filtered.pep.faa
	4039	Complete and single-copy BUSCOs (S)	   
	439	Complete and duplicated BUSCOs (D)	   
	25	Fragmented BUSCOs (F)			   
	93	Missing BUSCOs (M)			   
	C:97.4%[S:87.9%,D:9.6%],F:0.5%,M:2.0%,n:4596	   
GCF_000309985.2_CAAS_Brap_v3.01_genomic.filtered.pep.faa
	4240	Complete and single-copy BUSCOs (S)	   
	332	Complete and duplicated BUSCOs (D)	   
	3	Fragmented BUSCOs (F)			   
	21	Missing BUSCOs (M)			   
	C:99.5%[S:92.3%,D:7.2%],F:0.1%,M:0.5%,n:4596	   
GWHDUBH00000000.filtered.pep.faa
	4043	Complete and single-copy BUSCOs (S)	   
	447	Complete and duplicated BUSCOs (D)	   
	15	Fragmented BUSCOs (F)			   
	91	Missing BUSCOs (M)			   
	C:97.7%[S:88.0%,D:9.7%],F:0.3%,M:2.0%,n:4596	   
GWHEQVL00000000.filtered.pep.faa
	4073	Complete and single-copy BUSCOs (S)	   
	437	Complete and duplicated BUSCOs (D)	   
	38	Fragmented BUSCOs (F)			   
	48	Missing BUSCOs (M)			   
	C:98.1%[S:88.6%,D:9.5%],F:0.8%,M:1.0%,n:4596	   
OX_heart.filtered.pep.faa
	3935	Complete and single-copy BUSCOs (S)	   
	416	Complete and duplicated BUSCOs (D)	   
	41	Fragmented BUSCOs (F)			   
	204	Missing BUSCOs (M)			   
	C:94.7%[S:85.6%,D:9.1%],F:0.9%,M:4.4%,n:4596	   
GWHFIKA00000000.1.filtered.pep.faa
	498	Complete and single-copy BUSCOs (S)	   
	3947	Complete and duplicated BUSCOs (D)	   
	25	Fragmented BUSCOs (F)			   
	126	Missing BUSCOs (M)			   
	C:96.7%[S:10.8%,D:85.9%],F:0.5%,M:2.7%,n:4596	   
